BGDFAEDA CGFGFACF
GGFBDGBF FEDDCAAF
EADAECFD BGGGCCGA
CEAEBFAA GADAFGGD
CECFGCGE FFFFBECF
ACBGFCGF EGCAADCF
FCGAECAA FCFDGEEB
AEBDDGFC GAEFAABG
FGAFCGEC EAFECCDF
GECDEEBG BABBGDGB
GAAFEGCF EGCGFBDB
CCAEBCDA EDGFDGDC
ACEFAACF AEGAGFGE
AGEGEDAF FAEBFCDD
CFEFBCBE BEFADCGC
EEACAADF AAGACGBF
EGCCDECA GCCGCDFD
FGFBEGDA FDEEGCDB
FEGEFDGC BDEDGCEB
CBABEADC CDFBBGBF
BBAEBACB AECFDCEA
AABGCGDD AGBBCFED
FEBDAGEC BAFGDAEC
BGAEBDAE CGDGBBFB
BDBDBFDB FAFDFCAF
EFDBFCAC DGFGFCCF
GEABEGFE DDAFFFAF
CCDEBCDF FDFGBECG
DFEECCEC GGCBFCBE
ACGABCGF GEFBDFFA
DDCCABGB FCGCDDFB
EECADFDA GGGEAGDB
CCAFACBC EDDGFEAB
EACADEAG ACGFGEBC
EACGGBGB CDGFFGEG
BDEDFBEA DCFFAFFF
FBCAEGAG DCBGGAFC
GCFCDFCB CAEAADAF
CFFBCCCG AEFFDEDB
GDAEBDDG AECDDEFB
AAGEDBFD CFGEDEGA
ECGABBGE CDDCGCAF
EGFEGGGD EDCBDEDC
FECCEEAG EBEBEEAA
AEABCFFB FGFBGCBC
BBCFDGDG DFCCEBEE
FDDDFEAB CCAAFGAB
FCDADGBD GGEDBEAC
DFBGADAG ADDBDFCG
CGEEDFCE FFAGGADA
EFEAGDAG EFDEFEBD
GGCBFADF BFEAEGAA
EEECDCBB EBFECGGF
BCFACAGG GAGCFCGF
FCCBCFCA EBDGEDAC
DCGDGCCF DBABAAAC
FGEFCFAG DGCAEFBD
GDDCBAGC FAEFCCDC
DEDCBFBG GBABFAAA
CFFAEECG AEFGDBFB
AGCDEBFE GFFCDFDF
GCBDEBAG EGBEGEDC
BBCCBABC AFFDAFBF
FCBCCBFB ABFFFEEG
AGBDGEFF GGBFBCDD
FFEFDBBB AFFCCGDG
DFDGADBB BDAEAFBD
AGCEDDDC EGAEEEEA
FDABAAAE DEBAGGCE
BFBAFADG GFGDEAED
CFGBGGCA GGBGAFAG
AFDABCCC FCBBGEAF
FBFEGCFF ACDDBGAC
ECBFBEAB DGAFGGFF
GBFCAFFD DBEAEDCF
EFFCDFCG GDEGDFEA
FDFDEDDC DGBDFCCG
BFBCEFFA DAEFBFCF
DFFACCFB EAEEFDFD
CGDFEEGB EBECBFAC
DBCGAGAB DAACACFD
DBEGCFEG AFBFDADG
EFDCDBEC BEGEEADC
FGDCFFFB DAGGEBDF
GECFGDDE GGEGFFDF
BEFEDFBF EECCGGED
GAEGDGBB ACACFFCD
ACEABBEG CBAECAAA
CBCFCGDF CCAFEAEA
FEGADGFG EGBGFABD
GECFDGAG CDFBBCCB
BCGFFCCC DBFBDBDG
BCGGECCD EFGGFAAE
EAAADFFG CDCACECD
AACBGGEG BACFDEBC
BBFGAACE DBAADCDE
DADCACEF GCBGGFFE
AADAGCAC ADFCAFFE
GFCGDAEC FFGFBAAF
GFFBFCBG BDDGABFF
BDDEFBGC EBGGDAEG
CFGAECCA CEBDADAG
ECDCCEBE DFCBDAGG
FDGGBGBG BGFAEFDE
AGFGAAFA EECGFBBB
ECBEAEBE EGFEGCBC
CABCFBAD DCADCBBA
FCECFAAA EGAGAAEE
CCDBGDCD ECDAEFEG
BDEEFBGE GFCFAGAE
BFAAFFAA CADAEFAC
DBCGACDG DACACBBE
DBDEACCE GGCCAACB
EBCAGFBD AAFGFEFB
EGFDGFCA DBFCFBEE
GDCAEEFG ECDABDAG
CDCEDABF CECCFFEC
DGFCFCAD FGBFFDFA
FFCEDGBD DFCBGCBF
BAACDBCG EECCAGBA
DDCEEDFB DGAAGBDE
DGGCDCGF GBGDFGAD
CECGAGGC AGCCDFGC
CFACEDFC FBACCGED
EFDEEGBC FFEGEAGA
DCDDEAEE BGGAAAGA
FGGACEAB FGAGEADB
CDFCDEBG GAEEEBGE
ECGACDAG CDCGCCBF
FBGFBDAB DGDABGBD
BFBECEBG AFFGGCEC
FEEEBGDF BCAAFAEA
GCEEBCDA BEDBAFBA
CABFEEED CBCCFEDE
CFFFEECA FGCGAFFC
BBAAGBAD ADEBBEGF
GEDBFBGG CDACDFCB
EGDEFAFG GGBAACFE
CBFDAEFG GFABFBCD
AABCFAGD ABACDEFG
CEEDFBGB CDDEGCDA
GFGCDGGD CFCCBBCF
CEBDCAGE DABEGCCA
CFFEGCAC BFGCEECC
CCEBCDCD AEDBADEF
CFEDGBBA FBFFGEBC
GBFECFBA FGBGAGGD
FEDFAFEB GGAEGCBF
DDFADGDG ABGEFABB
CEFEEFAF FFCACEEF
DAEFCEFF BEECDCBG
BCBAGCBE GFDFDBEC
BEBGGEAG ACCEGCAB
FADDCEDF AADDAFFD
ADBEFBGC FCGFGCDA
BGADCGCG CEACGDFG
ABDCECCE CCABABEA
GBBDCFCE BACEFEDG
ACBAAGAG GFDBDCFB
DCECBFFG EFBFDDCC
FGFCGCFB FGFEBBGG
CGBFEGFF DGDGDGCC
CFDADDEB FFCEDEDE
GADCAACE EGGCFBGA
CBAFADDF CEGBFDBG
AGDFEAAA BFCEBCBB
GFGEFDAA BABFBCCF
EAEFDFDB GDGAAAEB
EBFDBFGD DCGDDCEA
AGEAEGGF EFEAFDGE
CEEFFDAB DAEAFDGC
CCGGBFCC EAACGAEC
FFBADFFG CGBAGEDB
DGBEEBBF GCAECCEA
ACAFDEEA DEDEFFBB
BDFFCGDD FFFAGDEC
CGBGBGFF GCEGFDBE
EFCFACGB CFAEDCCF
FCAEAEFF EGFGEEEA
BDAFBCDB BDDGCAGD
CACGECDD CAABDBAE
EBBECFGG CEGDBCCD
DAFEGABF DFGBAEAF
BGAADBGD DGFAEFBE
FAGGFBDA CBBADDED
DADBDFDG FCEAGAEG
CBGACBDE BFFFCDDB
ADCEEBDF EGDCDCBC
EGFGFDBG EAGDBGEG
BGDEEEDG GECFGBAD
DEFEDFFA GGEDAFEA
CGDGCEDF BGCBCADA
BFFDAFAG DGABEFGC
EAADBCDG EBGDGGAC
EBFAEEGE EBBAGBAE
BAGDGDFF AEBBBBFG
ABCFGGCG CEDGCBDA
GBCDCAEC FDGDEBDB
AACBDCAA ABEFCDGC
CFFFFGAA AEACDGDA
ADDGGDAB ADDDEDCF
FDDGECBA AEFABDBE
GAGEDAGD AEDDADEF
ACEBBDFE BDEFCFDA
GDDDFFCA FCAEEEDG
BECFEBBD EAGCBGEF
EBGBBAGA ECECCFCA
BADEDCGG BAEDDEDD
ACEDEEAE DAAACBBE
FFECCGDE DGDDFFDB
ECBEBFFB BEBFFABC
GEGDDEGA EBBACEBB
BEDCDGFG BDEFGCFE
EADDDAGC FBBGFCDA
BEAAFDBD EFEAAEEB
BCGFFFGG EGFDEAFE
AEFFCFAD EADECABD
EAFACGGA EFCBAFDC
DDDBDFGB CBFGDCGG
CGGGBGDE FDCAFGFF
BFGDFGGG BCFECEBA
CBBGFGBB FAGFCBEE
AGCAGEAD EDBGCECG
BDBGBGFA DCFECCGG
EDABDGEF CDGBBBFG
DFEBADFE DADAGEGE
GEGCDBBG FBEBGCBA
CGFABEAB GDGCGDEG
AEFGBFFD GAGBCFGD
FCCCAEDF ADEFBACB
BGDGGGEG GAGFADGB
GBAFDBEB AEGGBGEF
ECEBGDED FGFEEBAA
DBCGFGCG BCCAGFDG
GBGAGBBA AFDBAFCD
BDGAACEG GDDEGAAE
GDGGBBAD GGGEGGEG
DBFGDEGE EAGCADBB
DCGBDDFC ECFFCCGA
ADADGBDG EBEECGCD
DBCCDCDE FBFCGFFA
DBCCEDFD EGEEAEBB
FEECDCAE BBFBGEDB
ABFBAACA DBEAGGFE
FFCDGBEA CDAGFADG
DCBCGACA ECGBGFBD
ECDAFADA AAEDGDCG
BAEFEDAE CACCGBDB
GGAGEDAB ABBGFCDA
GGGDBFCA GABCEAFE
BAFCDGGC BCGGGEAA
DFFGDFFD ACCCFBDA
CCCFCECF CBGDAAEE
AFEAFFCD GEDGFCEF
CGABGGAA CDDEGEFG
EDCDBAEA BCDCAEFE
DAFFCGCC BCBEGDDA
FEAFDGBF AFCCADAA
AEEABGDC DGFGDFEE
DBDFGAAG GEDBGGED
DCADGBCB GCAECFBA
FGCAAAFF CDGEGFEB
GADGBBDE AFDFAFCD
FGGDDCAF AABGBFEC
EFDFAFCB CBDBGGDE
GCCAFEEC AAAFGABB
GGCBFFFC DGAFAABB
GGFACFDE BGFCCBGA
GECABDEF FAGCFBFG
GCAEDFEE BFCBDFGF
CFECEFDA BFEDBDEB
FGDBDGGA BBCABFGF
DBDFEFAA EDFAFBFG
BBGBGGGE CFDBGACA
AEBDBCBF DGFEDDEA
DEFEBDEG DDACEBFC
CFBAGGFE GDCEEFDA
ABFGCGEE CBFFGCAE
CDBFCDBD BGCABECA
FAEEEAAE AFAFDDBD
AFAAADCE GFEAAEAC
DGBFABEE EFAGBADB
DBGDADGB FGDAFGAD
AACCGCGB GEFGDFCF
DDFBFBFG FCFAFCDG
FEFDCAAD EEDGGEEB
DCFCADBC DBBEDCEE
DFECDDAD DEAFGECD
CBBCCFAD EAFAGCFF
DCFCBFAB GGDAEFGC
CAACAABE DEADBDAG
DDFAGFGB ECCAGGBC
DFGBBCEG AGEECGDA
AFCEAACC ADCCDCBD
CBBBEBEC FDCEGACG
DFGDACAF CDCBGFDG
GBFGDGFF AEFEAAEA
ADFGGEBE EFFDFFAC
EAGDEACG FFCCBCDE
ABFCCCBA DCAFDEEC
ADBCAFCE DFGFABGG
EDCCGBBF AEGFADGF
EFGAEAFF CGDGGBEG
AGAFFDFA AGADCEDA
FFFGACDB CBFEDBBA
EADEADFD CCEBBADE
DADEAADB CDDGECAF
BGGDBCEF BCBBBFFF
FGEEFAEA EFADACBA
FCGEFCFA GGFEFDGC
GEEFEFGB FGEDEGBE
DECDGFFD EBFGGEAF
GDDCBFAC ECADGFEG
AGBDGDCD AADGGGFC
AFFBDEFB CDDEGGBA
FDDAGFGB EACAEEAE
DCBGEGBG FGDDBBEA
BGECDDAC BDCABAGC
DGCDCDAA CCBABEED
CBDAACCA CCFGGBDB
FCCFEFCD DFDCFAFC
BFBECBFC DCGBGGDC
FGEAFDDB AFGDEADE
GCFABGDA DCBDBBBB
EDCCACFD DFDGGGBG
FCDGEGCF EGEFBDFG
CBABFBGG BDDBFFGB
CGCBAEEC ECDFAGGB
FFDCDCGB ADBCFGED
AEBAEBDD DACDFBBD
EFADCDFE FDGBFGEF
AFGEAGBG DDDGFFDG
GBAEEECB CAEDBDFA
FFAFAAGE CBBFADFF
FAEBCDDG ACEBDGGC
GEDGGDCD DGBFCFED
BFBDCCFC CGAEBBCG
BFAADDEC BDEBEBEF
ACEGCBDA FDCFEFFF
AGDAEBDG BEGGFDDE
DDCCECBE BEBFCCAB
CCADAFCA ECEFDCGG
GEFBAFDB DBGEFDCA
ADGGGCDC DFDDFDEA
BFEADBGF AFFGGEBD
FCDFCCGA BCECFCEE
GCECECGE BFCFABCD
CDCFFECG EDAFCACG
AGEBGACB FAEBDGDA
BAECGBBA DCBADEFG
EGGGAEDF CECBDAFE
DFGDGBDB ABBBEFBE
DADDFEDB FFEACGED
BEDAFCGB GCEDACDE
BDBBEGGD AEDGBCDG
EFGDCDDD BGFEGGBC
DGFAEGEA CGADCGAF
EBGFFDBA DBGDCDGA
FDFABEAG DFADFDDD
DFCCGEFF CAEACGBC
DDDFEEBC DAEEEGBD
CGEAGBFG ADDBBBFE
DCDGABGB AAFBBEFG
BBGGFCFE DDDAFDAE
CEBCDFGC CDFAFEEE
AAEGGAEE AEDEEFEF
EEGGEBAC GAGBECDF
ABBGFCED GEGBBGFA
FEDDGBFB GAABBBDB
ACFBCGBF DGGBGGDA
FECABEBB FBCEFBFA
FCFGGAEF DFDFAEFE
CFAGBCFF BEFEAEDA
BDDGBDFF GDDBBDAC
DCDFAEED FGCGBCAA
GAAADAGA BFBADEGE
ACEDDEFD EDDEEBDA
GAAGEDBG CDAEFGBD
FDDGDGEA CCDGDECF
BGABDGFF CDFADFFF
GFGGFBEE ABFBBGFE
EADFFFCD FDEBDGBE
CGEDDDDC EBAAAAEC
EGEDEGDE CDEDABCG
BGFACGFF GCFFAEAC
CCGGCDCD EGCEEADA
EECEGBDC ABECGABG
GDECGADB CBEGDFGE
ADDDGEGG DEDGDGFB
AGGDFEEE AGFFGDEE
AFCCFAED GBFGGFDF
FDDDGCFA AACBCDFC
CECFFFFC CAABDFAE
EADDEDGF DGEECEGE
ECBGEEEB AFGFCACA
BCEFDECF BBGBGDEB
CABDAAEC CEBADCDE
ABDGECAA FFEAFEDE
FFGDGBFF DADDCFCG
FEBFGFEC DCBFGAGA
EFGBDGAA GGDAGGEC
CBBBCBBC ECFEGGBF
BEAFGDAB DFAGGAGB
GABCCBEE ECFAGAGA
EFEGCEGE DEFCGGBC
GEDCADFB CAFCDDEA
CGCEBDCG FDDCFCED
CABCDFDE DCBFDFCC
DAAGEBEE EBECCFBB
AECAEFBF CBFDFCGA
BDFCGDGC FDEEEDED
EBCBCACD EBDDAAFG
DGEDDAEF CAEBCDDE
GCBFACCD CDAGFBGD
BDDAFABC CAFFCGEE
DEABDDDA BBDEBFDA
AAEDECGF BDAACECE
ECCEABCC EGAEGCBG
FCEBCDBE BCGGBEBC
AABBFCDC BGBBCBAC
FFGDBFAC AGGFEDEG
DGGEDCAC GAAFCEFF
EDABEGCF FFABBGGF
DDBAGCBD DGGCFCBE
GCDDGCDC CDCCCFAA
ACFAEDGD BGBGGBDB
DDCEGAEE ABDEAEBA
FABADACG FGEAECBA
EBGFFBBD FEAEGFFC
BDECCFBG GBFGCDDF
DECGBCBE BEEBDCDE
BEEGFBDC BCGDCBFD
EGEGCCDG GADEADGE
DAFFDBCB ABFCFEBD
EDAFFGDC FADDBFFE
BFDBBEGD BCCDEEGD
DAGECGFD CFAEDADD
AACAECFF CEABDBGD
CDEECBBE GGGBCEFB
DAEAEEFE DFDEDFFB
GEEGBCBG ECGGFDGB
BADDEFAG EAAGBBGF
DDGFFABC DACFDADE
EAFBEEDC ECCCBFBG
CBABCDFD ABFAEBAG
FAEGGGFA BBFFDBGB
CCCEEFFF FFCGEBGB
BEGFFGDE EGEEFGAG
ABEGBCDA EDGBBFED
EFEEFBAC FEGBDBEB
FACCAAFC EEDBDCBG
CCBDGACE DADAEFFG
DCEBBADD DCBGBECD
EFCCCDAE AFGEGBAC
GDEDGGAD CGDGAAEG
GEDDAFBG CEECAECG
EDBAEACG CBCADBGC
GFFCGBDE FABDDCGC
ABCABGCB DCBEFFBA
DEBGGFCE CADACEGF
GCDEACCE CEDFEBGG
FEGGEFEE DAFDCEDB
GCCGDABA GACDDEGB
FAEFADCE BADAGCEF
GDGEEBAF GDBDFFAC
AACBBBDD CGFDABAA
BGAGEEEG FGBDGFDG
EDGABGEA FAECCFDE
EBGGGAAF CECFGAGE
ACFBCDGD DCBAAEAB
EDBCECFB GEGDEDAC
EADGDDAA BCFCCEAG
CDBGDFCG AAGCGDFE
DFECFDBC BADBBBFE
AFDGCFEB FFFCBDGF
CCGGFCFC FDCDECFC
CEEFBACF EFGEGADD
BFEEFBAB ACBCAEEB
FBCAEADG GAAAAAED
CCBBCGAG AECFGFCC
AEBDAEED EEEBGGDE
FGDGDCEG AFEFGCAG
EEAGCDAA FEFGFDAB
GBCFDFCG FGCBCGGC
CFAFGEAB FBDBGACF
AEGDDGGD FBGDEEFC
ABBAFFEF BFAAAAAC
DDEAACFC DAEEFGCD
DDAGGEGB GEGAAAEA
BDECBBGA FBGDCFFD
DBGCCGEA FFAGBECB
GADAEDDC FAFGDFGB
DBBBFCEC EGACBADC
EADEFBCG BGGFGAEG
EGCDCEEG CCFDDEAC
BBGEDAGF EFCCCAFC
EFFGAFGB FEDDFAFE
BBCGDADA ABBFCGGF
FDBGEFEG CDCFCGFD
ECEEBGDF GFFFAADG
GECCDFDA AFGCCCEF
BEEAGGEE BBEDDDFD
GGBEBCEC GCCGAFCC
GFGDFFED FFBBDCED
EBGFAEFA CABGBACF
BBDABBAG CBDBCGBD
CBBFAADE DEGABGDC
FCBGDCFA FCDCCEAA
BBEFDABB FCDDBDFB
GDBDCCFG CEBGDCFC
AGFGCGBF DAECDAEB
CEFABBDF DCDBBEEA
CBGDAFAC EDFDBDAA
GBBFECFD DBGDDGBF
EGGFDBCC AGADDDGD
FDAEGCEF FDBACEBF
FCCEDDCG CFFFCEAC
CGFBEEED BGBGDFEB
GFCBAGDB CBEABGBG
EADDBAEC CDCGFBEE
AEEACACD FGEAFDDB
DDBAEAAD AFDEACAB
GCBEDEGD AGBBGCED
BBDFDCDG GEBAGDEC
GGCDEABD ABAGABAA
GEDGCFED DFDFDEEC
FCFFFACF AAAFDFCG
GCDBBDEB EAAEABCF
GDDCEADF EEEBEFBC
GBCBBFAE FAGEEFBG
DAEAACBG EDFEGBEG
CBFGDDFA EGBGEAAB
DDCCGAFF EADGEGDG
FECFFCDA BDAGEFCB
DEFGFBBB CCGDCGED
BEGABEAE EGFDDDDC
EDDECAFB CEDFAACC
EFEACBDG FGCACECF
BGBADBFG BFBEEGFE
CFDCDDGF ABFDADDF
GCDAAACA DBEGEAGE
GFCFEGFB BCCBBDEG
BDDDBBBA FFFFBFEA
GFAGEAFD BEBAECCB
CGFBECEC GGEBABAE
FGADDDEG CEFBGCGE
DAGBFDAD FEDAABFE
FECEBEDG FEDCBFFD
EFDGDFDA GCAFBDEB
EBEDDAGB EGDBGFGA
CEGGACAB BDCCDEDA
GFEFCEDG DGDDFFDF
EDFFFECA EADGECAA
BFAEFGEB CABBBBFC
GFCAFBAG ABGFCDGC
ACFBGGAA FCGAEEGA
FACDFBEE EGCCBEEF
BCACCGDC GDADAECD
EFAGFGGG CABDADGD
FCABFEDG GFBDGCDG
CABEAGBD GBBBCGAE
CGDDGGBB GCABECDE
GCABEAAB CFEFEDFG
FFCFAFFA ADBBBFEF
ABCECBGE DECBDAEB
ADCBDCAG DEAAGAFF
CBDFCACG DBBBCCEF
AACGFEAB DGDBACAE
CDADEGFE CDFEACFE
AAADFGGB BGDADGAD
GCBEGBCA DBEFGBGG
GGAEDEEA FEFDECAD
BEAFCGAA GBABGFGG
AAGEGCBD BCBDDACA
CFBGCAFB ABDCAGGE
AGBCBABB ECEEAGGB
GFGDAAGF GDBDAADC
AFEDDDEG FFDEAABB
FGGBADAA BAEGGFFF
BABBGDDA ECCCBADG
DEBDFEFG DBDDEAFG
BCDBBEEC BAACDGCD
CBGDGCFC EGEEAGFC
ABAEAFGD GCEFCEGD
EGDEFCFD EBFCFCDG
BFCDGFEB AEADCBAD
FACEBGDC CBGBBCEG
CEDDCBCF DCAAEACD
GBBFBDGA BCFGDEFB
GAGAEGBC BEDECCGF
FEDGBBGE ADDEEBCE
DAFABFEB EFDCACEA
GFGABGGA CGDCBCEC
BDBDDFBD EGFCDABD
BAGCCCCF ADBECFAA
EBBAEEEE GCAEFFCF
FFBFAAFB AFBDDFEE
DDAGDEBA CDGEADBA
BFCADBAD CAFEBDGD
EACDEFEA EBCEGEFE
DCEBBBCA FGDBFBAD
GCDDGEDF BABCGEGG
BACAGACC FDECCGGA
BDFDAFCC EGFFCGGD
BCGFGGAD CFDCGBGB
ABGEGFFD GDFFDGFC
BBEFEADE DAEDGBDA
BBAFEFCE AFFGGECC
FEBABGDF AGBEADEB
ACGBECFB FBDFCEFA
BDBEBBCF ABBAAAAA
CEGEFAAF FBGBGGBF
DGBBFGDD EAGFABAE
FFACDDAD FEDAFBAG
FFECBACB EFGDECDF
AFCCGDGA FEECAFEB
ACFFBDBD FEFECDAE
EDBFFGBA EEGDFGAC
EBCGAFCA GGFAEFBD
AFGAGGGE CGBFFFDC
GCAGBCGA FDADBDDD
BBGFDFAD BDCDFDGD
AAGBGACD GGCCDDDD
DFFDGGAC CBGCAGEB
BCCDABGG DGBAGEBB
CACEFEEG BAGBADDF
CDBFCDBD GEGGFGFA
FEFAEGBB AECAAGDD
FBBEBEFA ACCGEBBA
ADFACECG DCEDGFED
CEGFFGGG GEFEBAEE
FBBECDGE GGDECFEG
CDBGBFDG DECCGFEG
DDCGCDBE BAAGDAAA
ECGCCDFA ADDDECGA
DFECGDGC GFDAFGFB
AFAECDCC AAGGEFAD
FFDDDCCF CFFFBDDA
CACGFCCC AFFBFBFC
AFBGGACC BECCCAFB
GFDBDBGB AGBBABGG
