FDBGDCCGBF CBFACBECDA
GABCAAGGDG BGBGDACBGG
EEGEAGCFEE FGCAFBEGBC
ECDFGAFGGC CACCGCCGFA
GGECDECBBC ACDDBCAGED
FBFCCDFGAC EFFFFGFEGA
ABADCFCCAD BCDCFDDGCC
FGEDCCBBCC GBBBGCBDBE
AECCCADFCG CFGFFFABCF
FDBGGDEFDC CFEEBFGCED
GCGFADACAD GEACGGDDBC
CCEBEBDCFG GACEGBDAEF
DEACGCGBDG DAEBECECFG
GGCEACGCFF GDCDCEAEEC
AGGEFEEAEC BBADFAACAC
GGFBBGDBCE FEEBAGGCBF
CGCBFEFFCE ABBEGFAEEA
BFCCECEGFA DFCDEEFEAE
FGEDAGBEBC GCDCGDFDBF
GCDBGFEFCG BCDCBBEGEF
DAGDBCBCBG CCFDCGFAGE
CGGFFAACCB FGAFABGGAA
FDBAFAGBEA EDGECEEAGD
ABGGFCCBGG BEEFBFGDGD
GEBFBGAABF GACFACCEDE
GFCECDDBEC AAEGFAEAGB
FFFCCFEDAD DAGEACGBFG
ABFAACCAEF EADGAFBDAA
DDGFEBBGFD GFCDBAEFFD
GEFCGCGBGF AAEFBGFCFF
BDDEADAEGC ECFAEECADD
DBAEGDADAE AEAGBDCBED
BDEEGCFABG GEBGCCBCFB
BECEDFDDAG ADCAFFDFAB
DCGACDEBBG DADEGDACAE
CBDDEBCDFD DABDFCBBDB
EDEABBFEDB EEFFGGAGGA
FGCDGECDAE BACAGGAECE
EBBABBGFCE BGAGBDDEFG
FEDCEECABB GCEDGBDAGC
BECFACGCDF GDABGEGCBD
AEEDEFBCDB AEEFAFFGCC
AEFCBDEGBE DCFECEADFF
DDBCDGEDEC CEBEDAFBCF
GGBAFDAGBA AGBGGBACDB
DGCBCACDBA EBBDACEEGF
EFFFEDFEBF ABBCGCEEGD
BFCAEGDDEG GBFFGCACAF
GFFABBBEEG DFEDBAEEDE
BEEEAGGCDA FCBFDBBADC
GGEGABBABG CGBFGEFEGG
ACCBBEFFGC BEABACFCFA
FCBCGGEADG FAGFDADADD
GDCDAECAFD GBFBDBGGCG
FGCCEBFCDA FFDAGFFCEE
EGEDGFDCBB GDBGDCFGBA
BDCDBEAEGD EBGGEABBCA
FBBGGAFGFA FABFBCDBBE
BBFDEBGCBE FGDDEGDBAG
DBCGEDBFDE CCABECEEFG
GECACEDFEE ACBEBDEECF
BBEFAGBDEF BEACGFADEA
DDBDEGEAAE EFCBGAAAEB
BACDABCGFF GBCAGAAFDG
BFECCFEECA DDFCDADFGB
BACCDEFAAC DAEBDCCGBC
BGGECEDEBA BACFDGEAEF
FBCGBEBEDD AFDABABDGE
EBCEADFEFA DFDGABCAAB
FCGCDGFCAD BCBEEFBDDB
AGDGGFBGFF DGDBACFEAG
BBDGFGDBFD GDEFADAEDF
GEAGBDCDEC DDBGAGFCFG
DCGFDFGCDA BGDCEBCBCA
GBDBFFDBEE GCCDCDGFEC
CFFGFCGGAC BFGGFEBFBD
AEGGAFBAFA EAACGGFCBE
GBDCFGCDCG BGDFGAAAEE
DDCGFGBGDB GADBEADDFA
AAFCGGEDGD BBFCECFCFC
CAEBDFAEFD BFDCDAGEGG
AFADFBDBBD GEDFAACACA
BECCACEFFE EEBGBEBGFA
CAGAEEADDB GGGGFEBGAD
EEFEDFDBEF BAECFEGCAA
CDCFGDADBC ADGCAFDCEG
AAFBDEBDDF BBAFCABGCF
DFGEABFFFC FFEFFFEGGE
GCEEBCEGCC DEBGGBBGBG
EFEBDCCCFB FAECCCFFGG
DBDBGBEAFD AEGBFCCDGC
BBADDACGEA EDEBECAEDD
GEFDFGGDDA DDEACEAFDC
DEBBCAFCAB CEFFAGDFCE
FBDGDCBFBA DACDDEFDDB
ABAFDEGCFE DGGCEAEEGF
AECAGCGDBG GFDBCFFEDF
GEGCEBEAFF AAGEBDGEFA
ABCGDEFCEC EBCEEEFDDF
EGBECEEACA CGGEDAFAGE
EGDGAABAGG GCAEFAEBDA
ECFACEDGAC FDCGEBDCGB
GBEDDAEDCE DDGGGEACCA
BFFBFFAEGC AFAAGDDFEF
BEDGFFECDG FDAEGAAABB
FCCGDDCCAC FGAFCCCCFA
CCGADEDAFE AAFBBGAGDB
EGECGCBGBD GAEGGDDBCC
CBGGDAEEDC FEAGAEFFCB
BBEDDGGCDD FACFBBADDG
GCEDCDECAD AEDDEFDGGB
CBECFDACBG AFBGFAFFDD
DGGAFDGDEB DFABGFBCCA
CBEBFCBGEE GBDFFADBFC
AFFBFCBBDF ECAGCFBDCB
DBFCADFCGE BEDDEBDDBD
GAFFEACCDE DEECFACFGA
BDDGFEDADB GEEFEGDEGE
FGEBEGAFBB EFCEFBAABA
EFACGAFGAE GBFAGFFBFD
GCGECEADEE GBCEBFGBBA
GDBCFBFBEF EECDABBDCF
FGGDBCEAGA CDBGCFFGBE
EEACFCDBCA BFGDCADCGB
BCEABCECDA GFADGFEDFB
FBFECFFFGG CAFADGCECD
EEFADEGADG EFGDEBEFFD
DGBAEGCFCF DAAFCBGDFF
ADCEDDGCCG AGGCFEACFD
GBGADGEFBF FCAEBACABA
AEBGACEADD BEFCDFBBAD
GBDGGDFCCF BDGBEBGCGA
ACAAGFBGEE FEEDBAFFDD
ACDFAFDFEG GBAGGFCABA
GEFGEEEAGB FDEFFDFBFG
AACAAAFBBE CAAFGGFFEA
ADAFECCBBD GCGDFBAGCD
CBEGAGADBC GAEBCGGEGA
EBADDABFBD FGABEDGEGE
ADBCGGBBEB DGBAFDAGFB
EFAFCFDFBD FBACFGCGEA
CDAFEFBCGF CCFGBCFAGD
BDDDFDBBGD ABGGFGFCAD
ACGGAGDBCD GCEDCBBGDC
AGCGAFGGCE GAEACAACCE
BBFGDAFADA BGEEEAECEG
DBBFFFCECA CGGADDBECE
ACCCBCDDEG CFDABBFFFC
GGGFCBFFFD AGADFFAEFF
GFACDGGDEA FFEDCADGDE
FEDCGBGDBD DFBFEAFGFE
GDECBDEEEB BEGGBDGBAF
GAGCGBBFAC CABCDADGEA
AEADFCFEDB DACGEFADGG
BEACGDEEFG EAFAFEDDBF
CFDFCEECGD AGBFFDBGGE
FCCBBFBDCG GACABAECCF
EFGGDBFBCF FECDCFFFED
ACAEBCACDD BBDAADDBEB
BAACAFDBEA DEGGADGDDG
GFDEFGBGAF FBEEGCFABE
FAFECGEGDF BCFGGEBACB
DCFCEEFGBA EGEAGFBECE
BBFBGEBFBE GFAFADBDFC
ABEDDGADEG EFBGEFGDAB
GGEEGDECFE ABFBFBGECC
DBFFDFEBEF EAAFGBGEGE
AEDBFGDBGG ACEFEEEFGE
DCGGGBBEDE CDBEGCBEEA
EACDFAAADC FFEGGCCCFF
EBFDBGBDFE DDACCBADGB
EBAGFEDEBE FEGAAEABAC
EEDGACBCCF GDFBGFABDG
ABFGBEGFEG GAFBBCBCBG
DGGGFFDGEG AADBACGAEG
CACCFEFDFF EGDBCDFDDE
EFDGGABACE CGAFCDAAED
FEAEDFGGED AEAEFDGFGC
DFGEGAEADE GEEDADCFAD
GEGCBGDAFG FCGFACAGBB
GBFADBDCGG ACCDCADCAD
DCEGGBCABF DEFCBCBDGA
ECGEDDDBDB AACFBGDCGB
DGBCGEGDAE DEFFDBDGEF
DAGGEEAEBA DGEBGBDEBC
ACEADDDDFB CCABAEECEG
DFAEFFDBCA CFEBAGBAEB
BBDCEECGBC AGGCBDCFBF
GADFEDBADD CCBCADEFDA
DGDAEFAEDB ECBCBDDGCB
FCFFDCAGDG GBCEAGGCCA
EFFGAFADGF EGFCABEGGE
GGCFDEDBAG DAGAABGGEE
DGCADCBEDF CDAGDDBGDC
FFADGEGBFG ADGCBECFBG
GFDAGDAECB BGDGFACFDF
DADDCEEGBF BFCDGEGDAG
EGECFFFGBA BGGABBADCA
DEBECFEBFA EGECFFDFEB
GBAEAEDECD EFBFGCGGDE
ECAFFEBGGB GADBDFGEGD
GDEBABBCCG GDADBAFGGF
FCAAFCAADA DEFFBBGGFA
EACBGDEAAD FGFCCEFDBC
GFGGDFCFGB ABFAFBFDFC
GFDBEAAABD FGDAEDCFEG
BFGADEGBDG GEBCABGDDB
GCBCGDFBCB DGEGGBDECC
GCECCDDCBA GEABFDEEBG
GCGDAEFFDB FBFAFABEGB
DGEEECFFGA FGEEBCAECA
DEAAAGCBBA DFCGBEEFFE
AFFEGBEGCF AGGEFDGDDB
FDCABDCAGF DDFGEFAABA
BCGFFCFAEG EBBEDEFGFD
CEECDEDAAG AFDFCFFEEA
AACGEGAADF GCACGCCCBE
DFDGAFEGFC CBEAAEFDGB
BBCGGCGGDC EBFGEDBEBB
ECFFAAEBGB CDEBBGAFBG
BFEAAAEBFB CDCDGCCBBA
AGEGBAFFFE CAFGDBCGBD
GBAAGFAAAC GDBCCABBBD
BFADDCGAGB AEAFBBDAGC
EBECAFCAFA GAEFGCACCA
BDCDAEDBCG GFEGEFDGDF
BFGFEBBDFF DBAEDADGAD
AFGDEFFFAG CDACACBFFF
EBAGGFDDGG BBBABGDCDC
CBBFADACAB DGGCEBEDBE
AACCEFGABB DGDFBDEBBD
FABGCCFFDA GGGGEGFBDA
FGFECCAEGG BBFAEGFBCF
GDDDABDCAF FEFCEAEFED
GGEFGGGDBF FBGBCCABCB
FGFCDFEDEG BCCBFFDBFE
GAAEDFCEBC AECECEACED
BFEGCFDCAD GEFBCGCAEE
EDFDBCEFFC ECEFFAGDBG
ECDFCCBCCD FFCGAAFDAG
BGFDAAEFFD CGGGEDEDBF
ADEBEABFFB DFCGACDCGE
ABEFDAAADF CCBAEGAADB
ABGGCBGCBC CGACAGFFFE
EGDDEAEECE GEBBFDCFGA
DEACGGEGCA EBDDDFAAGE
FAEDEFGCAE FFADBBCEEF
GAGDBFECFF GBECABFEAD
GEDBBFEAEA DFEAGDFGCC
DBACEFFAFD EGBAFGFDBG
AADCGAFAEE GGGFGGBDFD
CCFEDEDGDB EBDBDABDBD
ADEDBGFADG DEGACEFBGG
BCGEBAFDBG CEADEDCGEC
AEFEACEDAA CADCFEEBAF
EACEFDDBFC DCGFFCDDCF
FFFCFACEFC BBFGDCGAAC
CFABFGFFAB CDECBGDEBD
FEDDEBFCCE CCEGBEEFFF
FGEFCAGGEC CFCGAGAFDA
EDEFBBCFBG GAFBBEEABG
GCBFEDFBGB CEFDFADAGD
BCAFABACCA GFFBEEEDAC
CDDBGEECEA ABFFBBAFDD
DBGBDCGBGG EDEBFACEFE
DEGDAEFFEE CCCECEBBAF
AAFGDGDEEA BGGGCCBCGE
BFCCBAFECD ECCCAFGCFE
AEFGAFEFDA BFGCGDFFFG
BGACDDBBAG BBFDGABFCG
BGBAEFBBEF ACGFFAGGAF
CGADCAAFEE DDGACFGEEF
DCEGGBACFE EEDDACECFE
FGAEFBDFCD GFCBEFBAGE
CFBGBGDDCE AFBDAEEFAB
ABBFBEEFFB DBECBFCGEF
BGEGCFGGEG AADAEAFACE
ACACBBCDGC GCDEBFCGGE
AEADBECCDC GBAACBBFEE
ADAACGAFAA AAFDDGGBGE
ABGDBBGBGG FEDABAGGCC
FFDBCFAFGE FFGFGEDAEB
FACGCABGCE FEAFDGCDEF
DGFEDFDCGE GBGBDBGBBD
CCDDDEGBGB DBBCGFBECA
EECDDGGBBG DDBGBFAGCC
AGCEGGECCD DEDGCAECFB
GADDFCBCED AGBCFGAEDB
EGBAGCCDFC CDFECEEAGA
ECEDBEFGGF CBCFFFFCEE
GFAGBGGEFC DBEFCBGADB
FBGGDEDGFE EABECCDECA
GDDAGEBFED FAGFFBCGAF
EGEDEFCCCB BAEGGEGBBF
GBBBCBGGFA FBAEBECGDD
EBGFCCFFBE ADDAADEGDG
DECGGGBFAA DCCBFAABEE
AGDDGFEEAF CEEFDDABFA
CGFBAGAAGG BGDDFABDDF
DEGFBEBGED BBADAACACE
FADFCECACD CBFDCFBAAC
EEADEAEBCD AGFFFCDFGE
DBGFFBCCBE FCCEDFDCEG
DEEFFFGGGE GFEGFACGCC
FADAGFDBBD DGAGAAABBF
ECDEEGCABF CEDEFGEDBG
DAADEDFCDE GAFBEFCGAA
DGCFDAEBGB DDFEAFCBFD
CFDCEBDFDA FAFGCEAFDF
ABBEEFEFCF BDCFFDDGFC
AFCAGGCBAF DFEGGAEDEA
GFDBAAGCBG FCAEACFGGG
AEAFADBAFD FDADBCBDDF
FCEACFFDBF CCDCCFBGDB
BCGBCBDAGC FAEBFECAED
EGEGADGABA AFGFCGACBC
ACBBCADBEG FBDCCCBDGC
BDDEEDDDGA ECGFFFDDGE
CADDGCBEAA FBBFFCEEAD
BECBFBGDEE CCADADECGA
FBFEBDEGCD CDGDCFDBDF
DDGAGDECFA DBABADEBGF
CDEGDDECAD EEBEAGCFBG
EGDDAAEBEB AFDAEGBCDD
GCADCCDGCA BEBEAFFDBE
DGFBDEBGBC EBEFCDABGC
AFEBDBAFEB DBCEGGAFAB
BEEFGFFDBF GBEGDEGDGB
DADDBFCBAG CEEDCBBACE
EAEFCFDEFE BECEBFEGDC
FFFCBGFFGC BGBDDDBADF
GDEACBAADB BGGDGFCBEG
CFABCABBFF AAAFGEBBFA
FFCDBEGCFB CABBDAEGDB
BCDEDGCABG AFAGCEEABE
EAAFBEBCBB EADCADFCAG
FFFCEBCECA BBEBCFDBBF
CFBBDGDDFG EECBFEGBEG
AAEAGCFACA BGGCCEBAAA
ABCDBEEGGG DAGFBFFCBD
AGEEBDGDAD BEFGGGCDGE
DEGGCDAEEE AADAFBABDD
BDAGCAAFEE GFGAAGCDDA
DCBEGFFEFG ACDDBGBGED
CBCAAEGGBD EDCFBCEGBB
CDFDBBDFBB DCDEEABGBD
CBFDCCAFCG DFGEAFBBBC
AGCFFGEGAA CBFEGCCGAA
DDDGEBFEAD FAFACADFDB
EGFBBAEGGD CDABECAGCB
DBCDBCBGBD FBFAEDBCDC
DCEGAGEDFA AAFFGGAGFD
GBEGDDEADG CGDGGBDDBC
BEEEBECGAB DDGACEACBF
BBBBFABCAA DGEGADDBBB
GBDCFBCFGA CCCCGFEDDG
GGFBAGBAAB DFEFEFCCCE
BGBDCFBECD ABFBCFEECF
CGBGFGBGBF BEAFBAFBCF
FGAEBGGDBF BBAEDFAGEB
FCBGFDDEBD ABFCEGBCAF
GBFBABGCDE ACFAAFABFD
EBFFDEGDBA EGFFCEEAEG
DBFFBCDDFG GEDBCAEBGG
DBGCABBCDD CDEDBCCGFA
DBEAAFFEEE DFABCEAADA
CGFDDFADAE BFDACACEGG
GFCEFBBCGC BGDAGGAAEC
DEFGCAFCEA CBEAGBGBFD
FAEDDGABFF ADEAEEGFDD
DGAAEEGEBF FCFDDBEBCA
BDFCDAECEC DEGGFGCADF
BBABECCDDG FDBBECEEAF
EDEBECADBC CGAADAGFFD
EAEDEBDFDF EADDCFDCFG
CDFBDCDCBB FCFGBGGAGC
FCECDCGBDB BEFAGCACBF
BCBFDCFDGC ABBGDABEFD
GGFCGACEAF AGECAGEGGD
BCCDGFFACC GBEGCCEGEB
CFEACGECEE GDGADFGGCC
ECBEBDFFCB CBCDEGDDEF
GEEDAGFDEG EEDAAAGABB
GFEBEDDGGG CFECAECGBB
BDGEABADFC CFGEECFECF
EDDFFCFDBG EEBCGGFBGF
ACAGABEAAF FBBCAGCGBA
FAGBDDDAEG EEBBDBFBDB
CAFEGDBFGD DEDCABBCGE
GACGDGEGGA DCABGBADFF
DCEGGGCCEC AEGAAGGEBD
EDAEBDCFEE BADGEDDAGE
BBEEAFAEGD CAFEBDEAAC
AGFCFFEEDF ECGBCAEDDA
DDBBCCDABG CCECGBAFBE
AEDGECBBGC FGFCFBCAGB
CAEACCCAEG CFAEFDDGDF
CEEGEGGDGA DDEFACCGCC
BCADFAGAFG FCCEBGFEBC
GCDEDAFCGG FDFCADFFDB
ACDCAGBECB DAADAEDCDD
DCFGCGGFBD CADADGCCAE
FDCAAEFDCG EFDAAFGFEG
GFECECDFCB GBEAABFBEB
BGFDCGEACG ABEADBAEBF
CGCGCAFGBE BACFFFCAGD
EAGCGFDBBB AECFCAFFCC
DDCDDGEBFB GGCECADCAF
DBEFBGCBGD GBFCBFCFGB
BGGCBAAFEB FADEGDFCEC
EEEDEFGFBB FDEDEAEFBA
DEBBCDAAAF FEGFBGFFEC
EBFCFEDCAF ABCBBFDECC
DBDDAFDEBA ACFEGEAFBE
FBDDBCADDF ABBGBBCGEF
BCACECDECG GBCBDFAFED
DECAFFFBED DGBBBABAFE
EDCGABEDFD DFFFGABBCG
ECEFGDFEAF GEEGFFBFGA
GCDFGGGGBG CFGBAGFGDF
CAEFADAEFE DBDDFEFDBF
DGBDDBGBDC GGEFEBCDGC
ECCDBEACDC CEGFCBBGBE
CFECCAADGB CBFBBABBFB
EAECFAEDGC EDCAGGCEFA
FDCEGDGEAA ABEECGFEDA
FBECAAADCA CAGFGAEDDG
FADFADCECC DFGECDBGDG
ECGDFBGFFA ECFEDGAGFF
AFDBDBAEGA BCGECDEBFD
BCCGBDEEBE GADEGEABDE
DFBADBGFBF DDCBCCADAC
BECEDEABGG DGBGGBGGAF
GCDFBCGGEA BGBAGEDDGG
GBGGEFFCEE EGFEBDAGAD
ACEDFBCEBC EGGACCAGGA
EFFECEFGGB GGACFAEDGG
FCAEDECFDD FCBEDDAGDE
FDEFEGCDAB DAFGDGCEDA
AEFECACFEF DFBFAFDFAC
BGEGADGBFA CEAADAGAGG
BBCCDEEFGD DDDCDDEFAF
FAFEBCDEDG GADFBFGEDC
DFAGACCCAA BEGFBFCGFB
FDEBACFFFD DDCGCDDFED
AFBDBFDAGB EDGCDEAFBG
AEGCEACECF ADGGDBCADD
ACFEBGAEFC EDEAFFGEGE
ECGDFGFBFG BFCCBCCECE
GFFFGGAGBB DABFGAEFDG
CDGEDACEEC CBBFDGGDFG
EEDACFCBBE FCBACADEFB
BGGDDGDGEF DCDACEAAEA
AGGEAECDGA ECFAACEFDB
BEGBGABCDF ADBBCECFCD
EGCGGDAEBB CDCAGFCDDE
DDFEDAFBBD DEEEECCBCE
EGGEFFEEBC ECEECDCCDB
DACGCBFFEF FDFFCGBAGB
BFCBCGBADF BAGGFACCBD
DGFDFDABDF FDEFBACECG
AGAGFEEACD DEEBDGFFCC
BDEAAGDFDB AEABDEBABG
EBBBECGECB EDEGGFGEGA
GCECABDDDC FFGADFABGE
BGFGFFCAED BDEADAECBG
FFBCGFBDAF GGDABCGCEC
BFCAGAABDE ACBDBEAAAG
ACFECFCGEA DAGGBDGDAB
CBAGEBACFE CFGFEEDAFB
ABADEDBBBD GBCCFBEFFB
CDBCBAGCEF BADBGFFABB
AADDBEFEEC CGGFBCAGFG
CCDFGADAAC DEDFFGEGGE
BDCCDEGGBG CBCDDCFDCE
GDBEDADAAB FEGAGGFECA
EAEAGFFEDF FDDDEEDCDD
BBGFCDDCGA EAABECADAB
GGEGFDBBBB CAGGGAFBED
EFDAGFDGFG ACEADFAAAE
GGCEABGCGD DFEFCCGCEG
FEDBGGDGFG DCABBGDAAA
FGFFGACGFC AFEBAAGDDB
AGEGDFEDBF BACAFEFADA
BABCGABFDB AGDACGEGAD
FEEBAEGCCA ADDCFCFBGE
BBGAFEDBBD GBEAGCFABA
EDDDECACBA DDGCDCCADE
DDDCGCDAAB BEDBAFEBCA
BEEGGEAECF ABGCCBDDDF
EGGFBFGFAE GDCCFAAFBD
DBFGDFACGB DCAFDEEDFC
DBAFFFEAEB AAEGFCDCBD
BDGABCAAGG FBCGFGABAF
GAFGBGCECB DGFDBCGBEC
ACACCCAGGD AFGABADADA
BGCFABGEAB FDADFGFFFC
ABEBFCCCEG DAGFDDABAF
ABEDAFGBAC FCFEFEADGG
AABEDCCEEA DGGGCBBFEB
BCGDAECCDE ABEDCEGGAG
FGGDGCGBGB BCBAAEEBEC
EFEFDCBCCG EFGFCBFEAB
EDDEBEABDE CDFFCDAEDA
AFFGEEBBBE CEFFBEBAGA
ADCBADGEBC GFCCEFFBAG
GBCACABAFB CGFCAAFEDF
GDBEFGADBA CAAADBDDBE
FDAEADBABA EDADBDCFED
FDFGFFFEFG BFGDBBDBGC
CFADDGAEEA BFAEAAGBGD
GCAEDAADCG CEFCDEEFAF
BABEECEBGB CBFBAGECCB
AFFDBCAFGG DEACAABDGC
EEFFGDDAFD EFDABEFABA
GBADADDBBF BCFCDACBGD
CGABFBFADF AGEGFFFDCF
BFFFCFGEAG GFABCGCABB
CEFGFBEFFC DCAABBGEEB
EFBADCEEBE FAGFECCCBG
DBCADCABFE ADDBCEEBDD
FEAEFGFAEF DECABFDECB
CADCBCEFEB CGEBECDADA
AEABDGDCBE BBCGGEEDFF
DCEEBBCEAA FDFGCCGECC
GBBGDEFGBF EEFABCFGAC
DABGEBFDDG DEGFDDDCCC
EABCBBBGBB BCBCGGDCCC
BDDAEBEBAB BGFCDADFGC
CBDCDADDEA FADGEFCDDF
CGGBFFBGDF DEEGEDBDDF
FBBDBABDEG FFGAAFEEFD
BFACBGGBFG EAAGADEDEG
GGBEGCABDF ABFBBCFEBE
BCAADFFCEA BCCEEDEBFF
DCDDDADDCC GGGAEFDAFF
CECCCGGBGF EDADEEEFFA
DCEDCDGDGD GDGFFGGEGD
FGGCDGEABD BCFCEDACGE
FDCEACADCD FAGFCABBAE
ABAGGDCCGC BEBACAFFEE
DEGGDABEEB ACAFAEDEGG
BACADACACB DEGGAABCDB
DBFBEGGDAG FDDEDCECCC
FCGCABCFBF ECABAGCDAC
BEFBDDFBFE FCEFDFGAFD
AABGEDBAAG ADCDBEFADG
BFDBGDDGGF FAGAEEEEFB
CAAGGGABAD CAEADGDBEC
ABGGDCBDGB GDDDFAEDEC
DEBEDFCBDD BAAFDEABDD
DDAAEGAAFD GBECFDBFFF
CAGDBADGEC ABEFABFACA
EFBBFEEEBE ADGDAGCDCG
ABEEBFCGGG CFBEECEGGF
AAEGCDACDC ADFEDEDAFC
EEDCDECDBG FDAAGGEDFC
ABACDFGBAA GBEFCGBAAC
AGBECDEADD CDEBBDDEAA
GFBEFFGCDF AAGECDFEAA
BGBEBGBABD CBBGBBECBD
FDCEEFDAFB CEBFFGFCGE
FCAGBDECBB CBCCCGAEDB
