CAEFGFAG BGCFDEFG
BFCDGDBC BCCBDDBA
CGBEEFGA AAAGEDCC
CEAEDDAB FADGDGEC
ABCDECEA DFAADBFG
FDCCGAEB EAFBCGCD
BDEDAADD AEBEGCCB
CFBEEBCG GGGAAFGF
GDCABDDA CEGBFFBC
CBAGFBEF DFDEEAEA
EDCEDFAB CAACBCDE
BDFFFBEF AECAGBDA
DFCADAAD BFAGDGAC
BGFCBABE FFDACAAE
CEFCGEFD CAAACGDC
EEBDCFBE BEACEBGC
DDEEDDGA CDCBCEEE
AFGGACEF EADGEAAG
DDGGDAFA ACCDDBEF
CEFAFCFC FAGGDBDA
DADBGAEG FFCADBAD
GACCAFDD BFDAGBBA
CFBEECCA FDFGDEBC
FDEABFBE EDDGGGGA
BBFEGCFF GDFFCBFC
GGACCCGE BFBFGECG
FFECCFFG ADDEGECD
FGEBFGFF FBADGFDC
DDFFEDFC GCAGABBD
DBBACAEF FABDFFAG
FDGFDFDD EDCFDECE
DGBEAFEF GFDACEDA
FDACFFGF ABBFGGEE
BAABCECB GABECAGF
BEGAFCGC BGABFDCD
EBDEGFAF BAGEDFEB
BFBCCDEA CFDCAEBG
GAGADBGC CGCBDEEC
CEAGEFCG DEDBAGFE
CAGBDFDC AGABFAGD
EBCDBEGG DBEEBDAD
ACADFBCB FBDEDBAE
FBEGEEGG AGECFEBG
DAEFFEBD FADGFADA
CCBGBBEA EAGFBEBE
CCGAFEFA AFGAGGDG
GCBDEEEA BDFFAGDB
FGBABGDD GCGDGEEA
AGADFEAC EDGAECFG
BDFEDBGA ABAAFAFF
DEEGBFCB EDCDAACF
DCGAAGGC GGEEEAGC
BDCDDBAG BCCAEEBD
BEADBEBD BAACCBEF
BFCBBEEE FGACADEB
ABDAFCBG BBEEAFCB
EBFGDCGE EEAFFGAE
GCADAAFG AEGEBCBA
AAFBFCDE FBAGACDB
DDFECCFB GFDEECGG
BEADBEDF CAFAACDB
DCDGFFGC GDGCDBFG
GAFEGBGB EDECAEAA
FDGBDEDF ACAEEFBD
GADECCEG ADGCCGGB
AEDFFFBA EGDFFAEE
GDBGGGGA BDFGGEED
DEGCGGAE AACACEFA
CGBEGACE DDCDAGEA
GDGDECCB GADCGDFG
CEGDBAEC FBCBABDA
DABBDCGA ECEFBGBG
DAFAAABG DABDGFBC
CAEGADCB EAAAEFFD
AGCCDDEA CCFDFADG
DAFBGDEG DEFEBGCD
CFFBDEFE CEGDFEAC
AGADEDEF CECCADCA
AGDFCCAG AGEBAAEE
DABDGGFB BFGEEDFG
EEGDDBAE BCCGADGA
FCEBEBGF DEAEEDEA
ECCDADCA BCAFFACD
DGAFFDFC BBAGGCDA
CDEEBFFE EBEFCBEG
FDBEAFEF BAFFCDAA
CEEDBEBF FAAABCBF
EDEGFBFD BDFEBDAF
FDFFEDED FGAADBDF
GEFGAEDF BCACDGFA
ECCABDBF FGDDAFEE
DDGDCGAC DCDACCEE
DFAABEFB BEABADEA
AGDFEEAA FBDCDFDA
DBFBEAGD CDFFEDBG
CDFBAFDB CDFEGGBD
BFEEACCA BCFFEFAA
GCCBAEFF FBFCBCFC
EACBDDBE DAFFGGCF
BGBDADAC DBADAECB
DADGACAG DCEADAAD
GDDEFCFA GGBBAAAC
BBFGCEBA DFABAFEE
DDEDAEDC CCBECAEC
DEBFAFEB DFGDDEGA
BADDAFCG GCADEGCB
AGEDCBBA CACBFECB
FBEGCDFF AFDBFCBF
FEGADFFC CBBDGCCA
DEECGGDA DCBCADDC
EGEGCCBF CEADAGGA
GEGFAEDD EBGGCFBA
BFCABDGB DEGDFEAG
ADFADBED DFBAEGGF
CCCEAAFE AAAAGACB
FFDDGFFF BDABFCGG
FBEDEBBF CGEAADFB
BBDDGDEF CDFBEFEB
DBDGGGFG AFFCEGDC
ADDCCCAF CAAFBFCC
AGACFFGE EFFFDACB
CGFGEDFC BAADFFEA
EDDDDDEE DFDCFAAA
AABGCGFD BBAFGFCE
DDCDEEAF CDFCADBB
GFGBGFEB CCFAEAFA
DCFGCACF BBCAGDBD
ECEADFAD EDDBCCGB
BDGEABAB CCGGBDAE
CFBBCEAG FFCBGGEC
EEFBGDGF CEGBEDCF
FBGFFGAD BAEBFFCA
DDADBDCF EACEFDAD
ECDGGEAF FCBGBCFD
FGDBAGEB FDDEDCGA
FACFFCAD AFGFBDAB
ACCGEECD BBGACBAB
GEGBCBBG FEABEEBD
FGBGDDFA DCBGAEED
GEAEGGDE CBGEGFBC
DCEBFDCD EFAAGACB
CAGABDDB FBCBEBGF
AEACDBAA FAAAEBDF
GCDDDFEA CCBGFBGG
FEBDECCG FFDCFDAC
EFDDDAEC FDGCBFGE
CFBGDACF CDGCDFAE
GGDBDGCC FAGBGGBA
FBEAFFEB CFEEDBBC
EFFDFGBG BAFCBFAA
ECDBCEGB GCFBAGDD
GBDGEGBF GGCDGEDF
ADDAEEAG EGBACDGC
BGGEEECB CBBAFGAC
DDACADGD AACEBGEG
BEBBBGDG BBADGBAC
AFBDEEDA DGFAACDG
DAEFDGCB EGFBBGAF
DABBAFGG AEFFEFAD
CBEBAAGD FGEBEDCG
AAEDCEFC CCBDGFCA
EEFECDAA BBFDFCDG
FAFGGBDA ADEAAGAG
BCFGAGAE EGADEDEG
DFDFAFEE EEBAGDFB
EGBGCCBA EADDDCEA
ABGCFFGA EBGGEDAA
GFAGDCBG BDBBEABG
AAFCFCBB FADBFACF
FEDBEFCE FCDBCFBA
FDBAEFAE FECGCABG
AAEFFAEC DAEAAGAC
AGCEDCDB CEAECDEC
DBDGGEFF DCGABFGB
GDAFBGCG GDGEGFEB
GBFCDGDC GDEEBEAB
BBDGBEDF GCFBFDAD
DAEFFDGG CDBDBGGB
ABGDAECF FAACDCAB
FGAFGFGB BBAACFGA
DFEDCCAG DFGADFDB
GBEBGAEC GEAGGCBG
BCGFAEGD EABEFEBB
ECFEBCAB DDCBBCCE
GADAEAEG DFDFBGEC
DDABBGFA ADBADCED
EBEFGAFC CCFFEFGD
GCGAEEFF CDFGEDFB
BFGCGDFD DGEGAGEC
FGCCBFFA EDEDGEEG
BAEBECBC AGDAFFCE
FFCGCFFG GBBCEGGC
GBACGFAF AGGDDBFB
AAAAGAFB DAAEECFB
BCBEADDC GFDCGDAD
EBGBBBBB CEECBGBB
CAGAABAD BECEBABA
DEFGCFFF CCGBBDFB
AEDDGAAG GBBFCEBA
FBACAGFD BGGGACFC
CCGGAEGD BADECEAF
BBEDGEGG FAEFCBAC
BBEFEAGD ECDEECEC
AEGDCDBB CEEAGGAF
DFACGAAE EGFEFCFA
CGCAFFAB EBAFAFGB
CEBBCCAF BDDCCBDF
FEAEABAE BGCGBCCG
CEAACBEB DEAABDAE
ABDDBEAF BAFFGBBC
DFCBDCCA BFCCFABG
BBEFBGGB FAFGGBAC
ABCCBEFF CBBGBECA
BEFGADAF AGGFAGGB
FCEAFDEB CDAEFEDG
FEEBEAED CFDGDDCC
AEDEAEFA ABEEACBF
ADFGEDEC EFBCGAAG
GCBECDCC ADFDCBFF
BABFFEDB EBEDEBBC
CGDDAACC EDFFBBBC
GAFBDFCF DGGGCFGF
GFBECACA AEEEEEFB
DGCCGADC GDBEDAAB
DGFABFCA GGFFBGEG
FAGABBFC DCEFDCFE
GBEDGCEG DAGDCEED
DFBBFEEA CGGBGGGD
CGAADEDF ABGADECE
AEBDEFBB FEDGDCFF
BFEEFDGF FDGAGGBF
ADBDDFEE GDBGEFBC
BAFDBBBC DGCEEEBA
DGADBGEG BEAFAEFG
GDEGEEFA AEFEDAGB
FFGGAEAD CAADFCCE
AGGAEFFG GEBEDGAG
EFDDEBFA EACBACDB
DAAAAEDE DCAGGGGG
AGGGDGBB DGDDFDCC
FAFEAGGF CGBADCCE
DGCFAEGD DEDDGADA
GECGGBFG ABCEGGFE
FACBCAGD AFFADCGG
DAACEDFB GEBEDBAF
CBBEEBDB DGAEEDGG
DDECGDFA GBDECCEF
GBACGEBD CBEDABAF
AEEDFFGE CCFBCCFD
CDGBCAFG FECAGBAD
FDADGGEF BFDEDCDE
DEBCGGFA FCBAGDBE
BBFEBDFG CAGAEACG
AECDFADF BEECAGCE
FFECGBBF FFCBFCCB
BGBBDBDA DFEDGBGB
GBECFBFD DCADAEDA
CGDABDBF DGGGDFGC
DBFGFFEC CGAFAGDF
FAEEAFFB ACDEBFDF
CBFDFEDD DCBDEBDD
ABAGAADE DAAADCDB
DEDBAAED GEABBFAD
GABCBCFC GFGEFFGE
BGCFGCBE GGGDBCGG
CDACFFDE FDBDBFCC
FDGFFCBE DACDBBEA
CFBCBDCF EFBBBABG
DBFGCDCC AGFCEEBC
FCCBFDFF FEDBGCBB
BADCFCEG CBCGEAAC
FDBBAFEC AEFDCFDG
BGDBEDFF CADADDDF
BDFDDEFD DBFCCGEF
FBEBDAGG CEEECFCC
EEAFGGEG EDGBAECE
FGFEGCEA CAGDBFFA
CFFDFGCA DEDFCGDE
AGCBFDAA AFFEACEC
GEEBCADB ABCCEAAF
FGGCBBDF FGBGEECF
AGFACEFG CFCFEBCF
DEGBCGAE GEBEEDDF
FDECEFAC DDDAFECE
DGFAFCAB GAFCCDDE
ECAEBCAC EFGFAEFB
BCDBEAEE BAFGBDGD
DABBEACE DBCBBGDF
BCFACGDA ACACBDCD
BFCGAEDF DFAEBGGB
GCBACGDD AFGDDAGF
GCAGCBCC BECBEEEB
CCECABBB CFADGBAG
BDADEFDE DFDGGGCG
FADAABAB GEGCECBG
FDFCDCFD DFEEDFBE
DDCGFAFF FGEEEEBE
EACGGGGG EEFDDGCC
DAAGBCGA GECGFGCG
FAGDCCDE FAFCDGBC
AEBGBFDA FFCABAFG
GGGFAGDD EAFGDCEB
GDDGFGBF CBBAGAEG
EGCCACGG EGFGFGGB
AFGFAFAB EEFEFEBD
AGFGCABF ECBEBBFD
DFFFBBCD EBBADCCA
DDEEFECE DCGBDBGF
CFDECBAF FCGDDGFG
ECABEEEB DBCAECCB
BDGDGBCC GADACBFB
BFBDFFGF FFFBFGCF
BAABBGCG CDFCDGED
DGGEFDEC GECDACCC
CFEFBFFG FFDGBACF
BCFADAEG BBAFEDBC
ECCFEGFG EBDFACAD
DCFGEFAE FACDGDCE
DEDCGBBG DACBEFGF
DCGFBGFD GBDBCGEC
ADCEEFFD BCBFFABE
GFGBCGEB GCFECGBE
EFBCDDBD CDFEDBGD
ECFCEFDA BFGGDGDE
ACEAAEAE ADACCCGD
AECBFDFD AABEAEEA
GEFFAFCC CCGBDGGD
FGCBBBDD EBAGGBDG
CECEBDAC GGBBDDAD
DGADDECE BEADAGFE
EAFAFDDE AEDBDAEE
EAFECDFA EGCFEECF
DDDCBFDF CFCAGBFC
GFAFCEGF EDCCBGAF
FGAGGBGG AEDBFDEB
CCEBCCGA DDBAFCBD
AECAFGDF FGBBGDFF
CEABAAFD DDGEFDDB
DADBECDC EFCFEDDF
EEAFGGDE GAGDFAFG
AEFBBFEE EDEEGGCA
AFAAADCB FEBFDABC
ACADCCDE ABGACEGG
GACCCACA DCEGGDAD
CDCCGBFG DAGBGFEE
GFGDDBFE BGGACDDA
DAABABDB AEECDGDE
GBFDEFBG DGDFDCBB
CCDEBEFA GEAADGBD
BGFEADDC EGADGAEG
BAEDGGBE CBABECAD
DDFGBFAF DBFFEEBE
EADEFAAF GBEEBBEE
GBDGFFCD EAAAGFEG
CECGAFFE EBEGGEAF
CCDCGBGD BFFEECGG
DDBGCACD AFFFCFFA
GGACFGEF CAGGGDEC
CBADGAAD EFBDDEEF
BEBDABDG DEFAECEF
EAFFCECB BCEEFCGD
DCBAADFF EAFCGBCB
EGGFEAFF BCBEEDAA
EDCBCECC GCGFGEFE
DAEEFFBF GDFBDDCB
DGGFFEED GGAABDEB
GBCBDFFB AEEGCCCF
CCGGEFEG DBBCAAEA
GDEEFDEA ECDEFBCC
CBGEECAC EFAECFBE
BDADBFCB AFGEFDCB
BBAEDCFE GBFEFEGD
FFGGDCED EDAFGAAC
BFGCCGGB FDCDBABC
DDDFCDAG AEDFDGCB
FAGFDGDB GBADAGGD
GEEFDBGF DEBEBBGC
BBEGABFG EACDDGBE
BFDFBECA CEADEGBD
CDGDAEEA GBABDDGG
FECFDBAA EDGBCBDG
EBBFDFDE ACECGEBG
CBDFEBGC GBDBEGFE
DFFGFDDC CABDDAGE
ABDGDDFC CFDACBGB
CCGCAEDC EEDBGFBF
FDEFDDCB FDDGEGFB
ADDEGECB GEADGBEA
GEBBGABD FGBABADF
ABBEABGB BDGEDECF
DDCFFBBB FBCCGADA
FFEGBCEA BCFAAEGA
ABDCDFAC FBADACDE
FCEAEDDA EFGGFDGB
FABFGFCE BBFBEEDG
ACGBDBEF CEAGCCBD
BCEEGFAF AACDADEE
DCCDDCDB GACDFBGD
CDCGEEFF BBABBBDB
GAFDCCBG BFAFABAF
FBEECEAF BEECCFCA
FFDFBFFE FFCAFBFE
DFGAACFG EGADAECF
CCCGBBAB BDEABBBG
CDEFFDAC AFECFDEG
FGCGDFFA ACGGACDE
EADGDGGB DADCFAEA
FFBFABEC BGBCEAGD
ACEGFFCD ACAFEBCF
AGBGABFE GCGEBBED
EGFAABGE FDFBACGA
GDDDEACG DBGAFAGB
BCEAAEGG GCAECFGB
EGBBCGEG ECEBGFAC
FGCBFECG GCBFEDDD
FECDFFDG EBBEFGFA
GGCDGBDF DCFBAAFF
CDDBBFGF GCCEEAEE
EDFACEEA BDGFEBDB
BGECAGEA ECECGDCA
BFBDDDBD GFFBDAGG
GDFGDDDC FDDBDGDG
CCFAGABD DDAFBACD
ACBGAGDC FFFFBCCF
CBCGDCBD AFBBGDDB
GFBGFGFB FBEBCCEC
EAFFAFGG BBGDADFB
CFEBCDDC BEGEECDB
ADGEAEFB DBFFEEBB
GFGEBBAB EDECGGGB
FAGBDDFF FFFFBGEF
DDDBAECC BFDEFDGE
FGGFBBAE AAFEFFBF
CEBGGACA EFEGGBFC
GDDCFDCF EAACCBGB
DDGDBCBB ABCGECFG
EDCFGGGB DDDAGEAF
GGDEAGFF FFDGDBFE
GAFGABBF EFGBDBAC
GFDAEFAC FGEDABEF
GCCEGECC EADAADDD
FCAECGGC FBDCCFDD
EGBCCGEC DDGADBDA
BEDDGGGB FAGAAEFA
FAEAFDAG GGABBCCE
GBECAGEC FDBADBDA
EDDEFBED BFBDCCEE
AFCBCBFE GDGGBADF
BBCCCAEG EDFCCFDF
CDCCGDGB CAFGFDDD
FCGGGCFD ECGCDCFE
EGDGACDD BACEDDFE
EECADFBA ECGEDBBD
CGEDBAEE DEBFAFGA
AFBBDCBB ADAEECBB
DDACDBAA ABBECGAE
FFBFBGCC BBCDAEAC
DADDEFCG DFGFBECB
AEGFDDGF CCDBBDBB
BCAFECGD AGDFDECF
BFGEAEBA AEEDCBCC
FEDGEFAB CCEDGBGG
ABBABDGE BFFDBCCF
GDDFDCGD BGEGFFBD
FCGDDGAG FGBDCDEB
ADDBFGCC AEADFEEF
EGFGGCCB FGBFDCED
GGGGBCEF DDFFBEAD
DEFGFEEC DECGBFDD
BBAECGFC BGFFEAFE
EAGEEDCE EBBFGCCA
GGAEEABG EECDGDFG
DCCDDBAE DCBGGDEC
FAFDCAGE FDFAFAFF
GDGGCEFG DAAGGFBA
AAGBCACC BGDADFEF
BFFFEDED BFFGDACC
CGEECDEC FCGCEAAC
CCFCCBCD GGBCEFGF
FBAGCBGA GEBBGBBD
CEDGGBAC AFEBGFEE
ABCCFGFD BFABDCAG
DBEEBAGF FBADECFB
EBFECDGD BBBAFDBB
DBAAGFBC ABACCDBA
GFFEBEEA EGAFFCDC
EGEFBAGE ADABFGFE
GFFBCAFB FEDBBADD
EGDGCCDE BDFCEFAD
BGABECGF DDBAGAGD
EEFGAABC AECGEGGA
GFFGABEB DDBACGCF
AFBEADFE AGEFDFCF
DFFDFBAA DBFCECGG
CAAECDCF AFBAGDGC
DCGGEGGF EAGAGEDE
DEFAGFAF CGFACDFC
ABGEDBEC FFEFFBCF
BFGFABBC BCGFCEDD
BBGDAGFG DADADBCF
DBAEBDEG GACFFFDD
BFCDGCBA DBADEAAA
GBEFFBGB EBBDEDFF
EECDBCDA EGADGGBB
ACDGGDEB BDGABFGG
FFCDCABA DGEDDGCB
ACGDBCFC CBBBFGFD
BCBGGBGC EGBCGDFE
CBDBBFAE AEACDBFG
ADCEDFDG GGDFDBEA
CDBFBEAE DFEEFCFC
EDBFDBGA EFFDBEFC
BCEBDCAF GCBBGFAD
CGGBFCED FBFFCDAC
CFFGDEED CFAEADFA
CABAFBFG CGEDECED
EDDBCFFF BBEGACAD
BACGACBE BDCDFCDG
DBCBDCFE BFFGFEDC
GAGEDFGA BDDDEFDF
GECCCECD EGBFBCCF
AAGEDEDE FDGCDAFD
DAEFDEDD BFBDGEBE
GADCEBAG ADBADABA
EBDAADBF BECDAAEF
DCFBGBCB GGGGFFGE
EFAEBEEC FFADEBFC
BEBDDGDE CEDFCEDG
GEEBEACF BDGBACEA
FDACCFGD DEDGGGGB
BDBDDDDG GDEGEFEE
DACFAFEA DCBGEFBC
CBBDGFEF DBBFEACF
CAAFCEGE ACFGBGFD
GEGDBEED FABDGFEA
DDAACEED DFEDACBA
ABDGAAFD DCDCGBEC
FGGBCBGD BCAFGBEF
EBADBCFG GBAFFAGE
DABCBGFG EFFBAAAF
FEAEFFGD GABGBADD
CGFABACF ABDGBAAF
EBEEABFG GEGDEBED
GDAAEDCG CBDACEFE
BGACDCED EBFCCEFA
FBDEDEDG AAGDGGFC
AGCECCGE ABFCCDCE
FADGGEGB FFGCCCCA
FADCGBEB GEDDGCBA
GEFGCDGD CEEFEECA
GBCADADC ECCGFCGF
CDBDGBGG DFEDAFBE
ABDADDFA EGCBFFEG
GFGFFDBG FAFCCEFB
BEDCFFFA CBCGBBAD
CBFFECCC DFBEFCAG
GGEGAFAG DAGDAECB
EDEEGACA BADFFGBA
FEABGFEC EAFBAFCF
CGBGFEAD EEACEBGB
FCGFGCBC ACCGGDEE
GADEEFEB ADCECBDF
BBBGAAEB BGDDBDCF
GBEGBEAA BBCBBCFE
CAGECDAC GBGABEGE
FAAFGCAF GBBBBGCF
FFBAGBDF FEACEACC
AFADABBF CGEEDGFD
CEECEDCB CDAEGEGB
EGFFBDCB CAGAADAD
EFCGEAEG ACFCDEGC
AGCBGACF FDFCDBEF
FAFGADAG ECFCFCGF
GFGBGADC BFFBBEBD
ABFDFGBG CBCGCDEF
ACAAEFBG DCGCEEGC
CCCBADEA CFFCCFAE
BECEBDCE BDFFDCGD
BFACGCAF CBFFCFFF
GABCBEBG GAEECBCB
CBBFGACE BBDGBGDD
BADGDDDD GBAFGFCG
CAFEBGAC FCGBDEBD
ABEFABBB GBFFDFED
GEFEEEBA FACFCBCB
DEEEFGFD ABGBGEAB
EGDDABFA BBDFFDCE
DCBCEEBB BAGEGEFB
FDBDEGDD FAEEBGDE
CCCGGFGE EDCFFGGG
DGDCDCFA CAEGGEAA
FDDDDGGA BDBACDAD
EGDEDBGG EEEGBAEF
FAFBBACC GEACFBAA
DEAGBDBD BGAEBAAA
GDFAECEA GECFBADC
GEBGGGBG CBAADAGD
GAFDACFB BFFCBGDF
ECFGBEDE FFGEFAED
FEGGGFGG EDBEEDBD
FEGFFFAD GADCABCE
AGCGGBAA DBECCBCB
CACCFBBD AGDEAFFB
CDEAAGFD GFAADFGF
GGCCAFCE BEAEDBCA
FBGGDEEE EBFFCGDB
GBAACFDE AEBGAGDG
ECCDABAD BBFFCCED
BFCDGCBD BECEBDFF
EECFBBGE EBDAAGFA
EBDBACDC CCCCFAFA
AEAGGDGG AAADGCFD
FDGDCFAF ABBDBEFA
EFAFAFCD FDEGAABB
AADEEEAB DAEDBECE
FEFFBABC FBGAEDGB
ECAFCBEB FBDCCAAG
EBCEBAGG BEGAFABF
FDBGBDGF BAFAABFE
FEECCECF CDBBEEDE
DABFCEFF GACDGBCF
EGGDCAAF EFFFDFCB
GAFCABBC CFFCFEGC
FEAEBFFC BFEBFCBE
GFGFAFAC FBBDAFBD
FADAGEGA DBCDEFEG
DEFGBABD FFGGBBFE
EAECBDAF DBCGFCEA
GEGAGCGA GDADBGBG
EBDBFBBC FFAFDDDA
FBADDGEB GGABDAAC
FFABGCCG ABGGGEAE
CFDGAEGA FFBEGFFD
EBDFFGAC GCEDADGB
AFGBCCCE BGBBACBD
AEBEGEEG BDGDBBEE
FEACGBCA BEBFDABG
GDDAEADE GFFFBGFB
GGGBDAFG FGDBCBDA
BDCAFCCA DGCEDEAG
GFGFFDBC GEGGCEED
FEDFAABD CFBGFCBA
FAGCFEEA EBDFEAFB
AECFFEGF DDFGFEGA
BEDEDGCC FGFDGBEG
DCFBABAG BDECBACG
BADFBCFD CFCGFGDE
GFEDBCFG AFBCEAFA
GGEDGEEC BDGADFED
GEGEEFBF GBBCAFBA
GEDEDDCD BECBBCEB
ABDGCGEF EACBBEAE
FBCCEDAE FCAGAAGF
AGCGGCGB GDEGDFAB
AGCGBABD CBBBDBGB
DBEBDEFG GFDFEDBD
GBGGEBAF FCCCCFFC
ECBBCAEB GADBGDDD
AGBEFFDD ECBAEBAD
CGFGCACF EGDGBGEF
CGAFBBEB DBFCABBA
AGCFDCEC FEEGAEAC
FBECDCAD GCDGGCAD
CDAEDEBE AEFFFACE
EFACCBFE GABEGBBA
FCEDGFDF ACDBCCGD
FCDEFDEG CEEGFAEF
CCCGBCEC CGCBBCCC
BAGADGCA EBFFGEAD
GEEFGGCF BECCEGCA
CFCCBEFD GBBAFBEB
