GFGDBABBGE AEDBBFCBCF
EBFBAAGBBB DFEFCCDFDD
BBBCGGBACC DDBGDAACDG
BEBEGFDEAA AAEBEDEBDC
GCCAAFGFFE BCECGBAADE
AECFCDBDED GGADFGEAAA
AAGGCGEAAG AGDBAFEBGD
FGCEFBGGGE ECCDACEBGA
CDGFDFBBED CBFCDEDDGA
BFAGCGDBCF AEFEGDDGGB
BDEDGCABEG FEBABDCFBD
AEFDCDFFBD BBEAEACFGD
FBBGFCBFFE ADAEBDADGE
FBCDBFGAAC BDEDFBBFEB
FDAGBBCEFE BBCEAADGBA
EDAGEDFGCC ABAFAEDFBE
EBDGCGGCGB EFBDDCDACF
BBGEFFBBBB DCFFAACGAD
FFFFDCACBC AEFDBBGFBC
CGDEGGBECB FGBGFFCFAC
CDBBDEBBBE ADCDBDADDG
EFDGDEBCDG FFFDDACBGA
AADBDCBDBE ADFFBAEBAC
GEGGFDCEFB AFDBGDACAE
ACFEGGGGCB FGBGAFEDFG
GCECCDDECG ADFCDCACCG
DBGFACBEGE AGCFBFACGG
GAFEDABCGE FFACACGFCG
BDCEADBCGD FAABCGBCBB
CGGGDBECAG FCEBCBEGAB
GDAFBACFBG ADFAACDFBD
GGBBGAFEFE ACEAABEEAE
DCGBGEADBA EFEEGACDCF
EBBEDFAAFC GEBFAEEECC
GABFBFFBDD GBGADFDBFA
ABBADFCFDE DECACBDDAE
GDDEBDEBAG CBFEGEBAFE
EDBGCDCDBF FACDGFGAAA
BBDGAFAGGF ABAFFDFDCB
FCDFDFCAAC BBABAFFBCC
FBGBAFBACE CEEGBCAFDD
FGBBDEDCDC GFEBFBBFAB
EADEGEGADA FCEDEFBBAE
EDBDCACDAB GEGABFCGAB
FADBAGDAAB BGFDDGGFFG
FGCFCFCADC BFBEFGCGFE
FAFABGCDBE CBCDFCCFGC
BDFABBDEAG EGADFFGCFB
ACEGDGEGDC BEGACABDGA
AGDCCCAGCC AAGBBDGDBF
GDDEGCACGG DGAABEBCEC
BEEGDAEGDC AEDFAFGBAA
BBBFGCCABE FGBEEEBBCC
DFECBFEABB FCEGFGEGEG
BBFECAFDCD AACCFCBCCG
CDFABCCAAA GDGEDEFEAB
CAGFDFDGFF DADBEDABFB
BCBDBCDGAC EECFCCDAFE
DEAFEEDCGF BFBGAGBFDB
FEBDFCAACA FFCGGBDEED
EEDAGDEBEA AGFGCEDDDC
AGGCBAAFAF FEGCACAEFE
ECBCGCCGDA GGABEDBADA
AABBAEDDAB FCBFBBEFGC
GGFEBBBEAE AFCGDBEABD
EDFBCEADAC GBCDFGFABB
BEGBGBGDDC CBAGEBEBCG
FEGGGFBGAG DDBFEGGCDC
ABDFCGDBFB EFBBBDDFCC
CFEDCEEDGG BAGEAEGABF
GBBFCABAFA DACEBFBCGF
ACADEADECD EBEFEDGCAG
CBFDBGEGDF BAFABBDFDC
EDCBEBCDFF CAACDFBABA
GDBFGDGDCB DGAAEEBGAG
CBBDCFEDDE BEGCCEADCD
DCEBDFCFBG DGFGABDGFE
FEFGACBECG CFEACEAFDF
DAEGDGCCCB CACFABEECB
GCEBBAGFBG ECDCFFCDGF
BFAEFFCAGG DCDCEGGDGE
GFEDEEADAB CFDEGAFDCE
BACABDFEBD BCCEFBDFDG
AFFDFEAECG FEDCAGCCFF
ACEGDFDAEG BDEGGFDFFF
GAABEDDFCB CEBDAAEGBF
FADDGEGFFE CDCFEAGCED
GFCBAEFGBE DFEGDAEGDA
FEFBEFGACD DEEDFBGDBG
ADEBCBCAEF GFFCFEGEAB
DEBGABAFDC CAAGCBDDGC
EBBFEDGBFC ADGACGADAA
GDECFAFEFC GEEDEFAFBA
EFFGCEDDGD CGEEAABADE
GBCDBACFCD EBEDBDFBAB
DEGFEDEABD AEDDGGGDEC
GBAAAEDBAF CAAFDCFCEA
GCBDEGEEGB GEEADDEDDD
GFCBDGFFEA BEBGGCBBCD
CDDGCECCAD FFGDFCFEFA
AGEEFAFACD BDEDECGBGD
BBEDCCDBEG AGDAGAADGB
BADEBGBACC FBAGGBCACF
FCCEBAGAGB ABDCEDDGFE
DEFDECAAAD CFFCDBDFDF
GAFBGGEDEA GGDFCCFGAA
FFGDEFCGCE AAFEBFFEGE
GFABEGBFGG ECCBDFADGC
BBBFBEGEEB FBDCFCEAAC
GECDCAGDEA CCFFDBAADG
DBEABDGAAA DCGDDFCADD
CCDBDECGFG EBGGGDGFCD
FGCABFFFCF CDAECGCFEA
ACBBEGCAEF GEGDFDGEBG
GABBCACDGG DCFBGCFDBD
ACDEEGFECA DDDAFEDBAF
CCEBCDEEAD CDEGAGGGFC
AACGEFCEAG CGFGAEBBFD
DDAEDEFBFE BFEAEFCGGA
DCCFAGEADE GCBBFACFEB
EFAGABBGFD FBFABEDBBE
EEEDDADAFB BGGBGDCBCD
BCECBEAAGA EFCDACGDED
DCBDBADADG BCGCAFEEGB
CCEDFBDFFG AECBGDAECG
FCBGEGBCFF FDDEAFDDCG
DEBBBDCAAD DFCABCCAFG
CDFECFEFDA BAFDEFFGDC
DFGEFDFCEB EBCDDGFCCA
AFBFCDEFFG FDEEECDCAD
EDGACBFAAG CGFFFADBAG
CGGBAGAGAA FBFDFGACDE
DDEEFFEBGB AADCDCGEEG
FBGECFBABA BGDFBDBADG
AEFCACCGFE AAAGFDCEAB
GFDDBBEEED FGFGCDGBCD
EAEFBGGACG GCBAEFEFBC
FGGCADAGEF BEECDGGCCF
CBEGCGAAEG FDCEDCBABC
CBDBGDECEC GCEEEECEEB
DBFGDCCACF DEDFCGFFFF
AAFABDABGD EBAABDBABE
CBBDDGGFAB AEAEAFBGGC
AECGCAEBCG GAGBGDEDBA
DEEBEEBDGF BFEAACBEFA
BBCFFFBFAF CDGGFGCCFE
DGGFCECFFF CFDCCBAFCF
EFGBDEGBDC DBFCBBBGBE
FGFFDGDGDD CFBAAEAFDF
DFGDCEFBAE GEADFFADEF
GCDDEFECDA GDDBDDEGEG
EGDFBFBBAF CBADGGDEGE
AAABDDACEA FFEBDFGEGB
BFECDFEADG DDEBGDGFBC
EFDAFBDEDD ADACCABDBF
DEECGCFEBE GEGAAFCACB
BADABFDFGA GFCCBCDEDA
AGDGDFDBGB CECCGFEDCD
GEDABFDABD FAFCDFFECB
BFFAFGEFGE BFABCGEABD
EAAFEAFCDA BGDDEDCCFC
BACGBGFEBG GEBEGDFDBG
FEBCGABEDB BEADFCBFCB
EAEGDBGFDF EBCEDGFABD
DABFDFGFBF ADBAFEFGFE
CBBBACGDCC FBAEEGFFDD
DFCDCFBFBE GGDEBGGCCA
ADDGBBEEAD CBBDEFFBDB
FFEDDGFCEC DBBECEAEBC
DEECEBFCAF GCCDFDCCCB
CCADFECCGA BCFAAEDEEB
FFCGABDAFC FCECBEGADE
FGFADCEDFC CDGBAGEBFF
CBGFEABAGE BACAEFDFFG
BDBADCEGBB DAABBBDEBG
BFCBDAFFEB FGEEFFFDEG
FBDFDEDADA GAGAGEGEFE
AAFGCGAEGB BBDDAGFEAE
BEGDDFBCGF BAGFAECDCG
ECFDCDBBBD EFABGADDEA
GCDEBBAFFF BGDCAGAGFB
EDGCGDGAEE CFAFFFBAAB
EBCBEAAAAA EABEFAGFEF
DDACBBDBAA CFACCACEEG
FDADBACCFB FEFACAAGCC
EDAACBECEG CDBGBEDCDG
CFGEACFAEE CCCFBFCEAD
EFGBCEDBEB AACBDDBBCC
DCGCEFBEFE BEGAABGGCA
CCCAEGACAF BCDGGAGDBA
ACBFGBBDCC DAAFFFGDAF
ECGGGDBAEB EADFACCEBB
CAFCBBDFFA FAGDEGEBEA
AGGBEGBFDB CEBDAFBEAF
AFADABEEGG GCGCGFCABF
BAFAGBCBFB CCAAEAAFFC
DEFDABDGGG EBACFCABCB
FFAAEEBDFA GACAEAFEEE
AECGCDEACG EFACECCADD
ECEFFBFFGG AFBEGFDFCF
FDGDEAGEFG FEDFDBEGBG
EFGAGGFABG GDDBDEAFBE
FGDFDEBGFD ADEFEGEFEA
BDGDGFEFEE CFBCDDGADE
DFBGGFBFAD GEFDGFACBD
BADGCBCBCF BEBCBEGCBB
CADABFDEDF DFGGFACCFG
EGGEECDGGG GCADAFGBGF
FGEFDACAFD ADDAEAADFC
DFGAFCDDFB CDEBEEFCCE
GGFBACDFEF FEDEDGCFGC
BFEEAEGCAG GGGDFBDACF
ECDEAGBDFE EABAAGFFBB
DEFFBCGEAC GADEFDCEBG
BAFGCFEBGE CDACFEAABE
EBBCEDGCFA EGCEAGABAC
BGBFCFEDBD FFGFAFFDBA
FCEEGBGBEG FDGAEGBEBF
GAFEBBAFFB DDCFBDBCEE
BAGBCGCBGF GEDEGDAECE
EEBFDEGGGA AEEBGFBAAE
EFAFECEFED FGEECFCEDF
DAGBCGDBAG EDCDDCAFGG
EGGABBAFDF GFEDBBCGFB
BDBAAAFFAC DDDGBAACAF
CBFGBDFCGA GCGFBECGCG
EEBABEEGFD FEDBCDGFCB
BGDACAECBD CCAEDCGAAE
CBECBABDAF AGEEEBECBD
ABGDGFEFGD BFBGDBABBC
BBFEGAECBD GAFFDCDDDF
FCCCCGGAEG DEAGADDAEC
FEFBFCBBCG AACGCBFEBB
AFFEFCACCE CCFCADABGE
DBDCABEBAD DCECCFBACA
GBGGFFBDCE AECCDBDDFE
DEFGEFAFDA ADFAFEGBGE
CAGBAECGDC BEDDDDCBAF
EDGBCFEEAA AEBCBCEAAC
GGBGAEABDA FAFCABCBDD
BBBDFDFCCF GCDCADEDCF
BBEFBAFAEC DBBDCAGGAG
DEBDBBAFAF FBDBBCGCAB
BEEGBFGFFF ACFEDCDADE
DBFBDDFDDE CDBDBGAGGC
BECDCGGADA AECFECFDCB
EDFEAEDEDA EDDFAEEBGD
FEABBCFBBA BFDDDEBCED
GFDGEAEEAG EBEEGGEECG
ACCEDEAFGE ADCBFBCGGA
DEGDCDGDAD BGBDABADAG
BFCFBAGCBD BFAFECEEFD
AEGABADGFG GFBEBBEGEC
BGBDCEEGFE GBECDBGFAG
GEDFFCEGAB GFAECAEGEC
GDGFCDAGEA ADBCCDACFA
AADEFGBDAA ACAACDBGCF
BCDAEBADGA FFDABBGCDF
AEAEFGBDEE BFEDEDDFGE
GCFFBCCFCB ADDCCGDEEB
CFBCBDBCEA FFEFCACEFC
BCCFGGDFGD DEGDCGDEBD
BGCBDDDEGA DAFFBCFDGE
AGECEGCFEA GDCCFDGDEE
DAADFDCCBA CCGBAFEACB
FEEDFBADBD CDACFECDBB
CABFFACEFG FCBBAEGEBB
EDFCABFDGG ABCDGECGBE
DAADACACDB DAACCBEAGF
FCDEEDAFFF GDBGBCBACD
FEEDEBCBCG AAECGEFCAB
ABEFBABGAE EECACBFCFC
CEEBGADEDA CCGEBBDDEG
CBCDECBGAE BFEDACGDEG
FCBBCCEGDG FAAAAECFBE
FECGGCFGDG BBFAAGDECC
EEGGCBFAGD BFFCGCEGCF
DFFAGACEGF EBFBDBAADE
FBFAEFADDC GEADEGEFDD
FEDEFGFGAA EBACFDEADE
AGFBCEGBEB GCBGADGGGE
EDFACBECAA BFFGEFECBB
CGFADGDBBF BCFDDDCDEG
EBEAFACCBB DDDEDCFEBA
BDBEGDDDBG BBFACDACEB
GECAABCGGA BCEBFGAEBG
AEGCFABFFG GFEBFGDCAG
FGBEGEEAFG CBBBFFGBEF
FCGCGEFAEE DBADABBBGC
BCBEGCCBGF CACFCEFDGE
GEEFEGABBD FEGBFFDFBF
FFCAEDGDEB DBFFFADBCB
EAFEBDAGFC FCBECCGBFF
GCAGDDDFAC DECCDDFCBG
GBGEEDACBG FFACEECDGF
AGCCFADBDE FFBFFBFECD
GEGDBFAFFF DCBCAGBADD
FDCFGBBCAC FCAFGEFFDB
AFABDCEGBG DBCFBBCGGD
BGEFDBEGCF EBGGGBEGCF
FDEFEDBFAD DDAAEFGFBG
AAGFBFECAB GBDEDAADGD
GEEACGADCC BCFCEBFEEA
CGDCDGAEDB FFGGAFEFFA
GAFCCECBEC GBBGBGCECA
FDGCBGDFFG AEEEFAFFBG
EDCCAAGFGG DDGBDEGAAD
DCAEEGDACC FEDBDFCCEF
CCGCFAEAEE FEFABFFFDA
ABACCCAECC GFDGGFFAAC
AABGAGEBCC DEABFGAEGC
DBCBFEBBAE ADEEDBDFGG
CFCACGAGFB GDGGDBFAGD
DFFCCBDAGD BECDEFDFEB
BGGGEEBCGB BCCECFBACE
DEDGDDBGFG GBGEBDAECF
BBEABGBGEA DCEGBCGACA
BFGDDFFFED CFAFGCCEBB
FDGDBFBDEC DGDABBFBFC
FBECBAGGDA GAABACDDGF
FGGACFGCCB GDFCAEEGEA
DAGBGBDABF BCEEGGDDFD
EEAGAEBBAC GCACEDCDAE
BFBCDCGBFE GFGEFFGCGG
CAEEFGCDGD DEFBCGCCDF
DBEBAFGCCE GGACEBBAEC
GGBADFDFAE CDGFEGFBEG
BDGGCFCEBE EEBACDCECB
GBGAEFGDBB DCBAFCAFBG
CEBCGCCFAD EDEFEGDEDB
EBDGFCAAEE FEADDEFAGF
EBBACFDBCB CDABCGFEAE
DBEAGGDFDF FCBCEGCGCA
DFGAGGDAFC AGCDCGEBGA
GGEBDBGCAD ACBDCGFEEA
ECDBDBEEBE BCGECAECBC
FAAFECDAEB FCGAEEGFGB
DBGBGEBGEB BAABEFAAGE
DDBDBCBADG GGDBCDGEGC
EFABFFBFEF BGDFADGFCA
BDCAGDBFGE GCBGCDAEAD
FGBAGDCGBF ECGGECBAFB
FFGGCBECDE EGAGBCAEAG
FCEDCFGEBD ECBFBBBDFB
DGFFGAFAFD GBBBDDCDAD
CEFABEDCCA ABDAGFBBEA
AACCFADCAC BFDAFEGDCD
GFEGBDGFCD BCGECEAGBD
ABEFCFBCEG DABFFGECCB
BEAACGFCBB CGGFAEGECE
GAABDEAEFA GDGDEFCAFD
AFFFDBGBAD ECEEFCABBF
BDGFAGBGGA ABGEAEBGBG
CEGBEECCGG BFECCDFCGG
AAEAACEEGG AFADEBCBCD
CFFBBGCFFB DBGGEEBBEC
DBFAGBBCEE DDCFDCFDAA
FEAFDDDBBE ECBEFFCEAF
CFCBEGEDEC GEADGEAGCG
AFBFEDFAAC DDDBCFFFCC
FBGFEECGGE BAGGCBCGBG
ADCEECCFDC BACDACAAGB
AAAFGCBDGF BCBDEABAFB
FEGBAFCFEC BFGFAFBBEB
FCCBCCDGDE EFGDAGBAGC
ECBFGFAFGC FADGDCGEGD
GAEBCEDFGC DFGEFCGGCB
ABEAGADAFD ECAACDGDBC
EGAGCFAEGE FGBGBGDDBD
GBECCECDBE GCAACECEEC
DFBACDBDFF FCEBCEGCEC
BAGABDGBDF CGFFAFACDC
CBGABDBAGF GGDABCFAFC
DCGGBFEBAA GCDBADDAGD
CDEGFGDFDF GGFFACEFFF
AGDGGCBBAG CGADBDCBBA
CGBGBDDFDA EGAAECADGF
CEDDAGCCDE BCFDFFCAEC
BAAAACDGAG DGBGFABCDB
BDBBAEEFBC AFBFDFBAEG
DFFAADFEGC GAABBGAECB
BBEGGAEEDA DGFDFACDAD
FAGAAACGDF GEGDFFEBFB
DGCGGBFADD BCCGCCAEAB
CGCAGGFCBA EGEABDADCD
GEBCBEDBEG ADFAGCEEBF
CFFFEGGDFF ACBBEGCACC
FCDEBADGBC CFCBDBGGAC
DCADBEFFFD AFECCFFEEG
DCEBDCACDE EBDADBBGEC
BBGEFAFCCA CDBCCDGFAG
FGGADBABCG AGFAGEDCAC
EGEACCFADC FAEFFBGDAC
FBEDDGCAEE BECGDBBCDE
GFDDACBBCD DEFECEFDAF
GDAGECBCBE CCBFGDFBEB
EAEFAGFFGE GDBEFAFBAB
GDGDCEGCBB FBDAFFAGGG
EDFGGBBDGC GCGAFCEDEG
DCGEEECABE GCBDBBGDEF
ADDEBCDAGC FGFDEDFCGD
CFGDADCGAE ECAAGACACF
ECEEDBCCCF BCFCEDEGGG
CCGEDDACCG CGBCFBDEEA
BCBDEGCGBB ABGGDFGDDG
BGFFFDGEGF BBECFADBDB
GADAFEGEGF EADFBGAEDB
CAEEDCGCGF FCFDBFEGCF
ECCDDBACAD BAAGFFBBFF
EFDABBCGCB ABCCAFGGGC
AAGGGBFAAC DCGCFGBDBF
FCCDFABADC DGAFGGDGGF
CBACAGCCFD ACDEBDAFGA
FGBDAAEEDA DDBDGCDACD
FAAGGFADDA GACCAAAACA
CECFGBGGDE FAFDDEBAEA
EDCAFCDCAE CBDGABAAGG
CFAFADBCCG DGEGGGFGBA
CBEBEFDAFA GDGCDFGGAA
DEBGBBGGAB GBBBECFGAE
GGDFAECEAC ECFGDDDDAA
FDGGDGAAGC EFBDCGEAFE
CEFGCFEDFD DFGECCFCCD
FECCGCBBFF GGEDADAGAE
FEGFBDDFEB DFCBCCFBAG
DGDACGGDEC BADEDCDBFB
GGABDBGFAA EAECCADGBE
BDCGDBBCDE GGBDGDCEGA
GACADCBFFB CDCGDDAFCD
AAECFDFADE EGBGCGBDCC
GFECEBCFFF FBBEEGAFGA
GFBFDEEADB EDGDGFCEGE
GDGGECBEEE FCDDBCCACB
BADACFCDAG DABAAEGABG
DGBCGDACAG GCABGAABDG
