BGFD BAAD
BDAA GEDC
GEGB FFFB
FGCB EEEB
GCCA GGFE
DBAG EBBB
EDDG FAAF
EFFC GEBE
GGCC CEBE
GGEG EGDB
GEAD AEEB
AACE GCCC
EGAA FGFF
DFFC GDEE
FAEA AAEE
CECC EGCF
EDDC CBFC
GAAE EBEG
DDBF FBEC
BECC DFDF
CDEF DACA
AEBB BCAF
BDCA AGAD
CCFE GCBG
ACFB EAED
CGDA CFFB
CEFC DABG
GFEC EAAE
GDBG CDBB
CBFD FGGA
DADB ADBA
DADD BFFA
DBEB BCAF
EFFC ABAC
AEFA ECGC
DADB EDEB
FGBC BEDE
EFAB BDEA
DCEC CBED
EABE CCAB
GACE BFCD
FCGG GCFA
CEBB BEGG
BBAB CDGC
DDEA EBAD
BGEF DCEF
FGAE GGFE
FCGD CFDA
FFGC DCCD
DFBE GGFD
FGDC EGDE
EFAG GCGE
AAFC DABA
FCFB FGCD
GEED AEFB
CDFC FAEB
EEDC CBAA
EDBE CBDE
CCDC ACCB
FDCG FCEE
BFEF GEEA
FFAF BEAF
CGGC FBDC
AAAE DBAB
DCAA ABFF
ACDE BEEA
CBEC DDGB
EGCA AECF
GACA FGDF
DEAC GEDE
ACGA CFCG
AFAC ABAE
CGEC DCAA
FACE AGAC
DFFF ACEB
DEAG BECG
GGBC FBGA
BEGF DEFE
AGEA DDDC
BBFG AAGD
EEFD FCFB
ABCC BGDB
DGGD AGEE
FFFC EBFF
AADF EEEG
BFAC GCFB
AAAC AEBE
GAAF FBCE
AECD AFDB
FBFC EEDD
ACEC CGDE
FGEB DCFA
BGAD GBDD
ECAA ADAB
FEFE CFAD
BBEE EGED
CDGA DABB
CEBC FBCC
EBEC EFFA
GFGC DGFD
ABBD ABFG
FABG ECGF
CFEC GBFA
EACE BCCD
CGEF GGDE
AEFA CBEF
FCEF GBCD
FCGE GFBC
FEDE FBEF
DFDC CAAB
FDBG CABB
BFEG BEGC
BFFA FCBD
FDCF CCFD
FFCG FGGD
FDEG GEAD
ADBC DEEA
AAFF FAGE
EFEE CABF
FBFE GDCG
CEDF FDCF
CAFB FGCB
EGGE ECFF
ECAB EDDF
FBFA BBDA
CDGB FBEE
DFCE CECE
AABC DCEA
BCEE DEEF
AFGA GBAG
GFCF CCDB
CGCA DBAD
FAEE DCED
BEGG ADEB
CGDG DCDB
GBFF ABDE
FACF ADFE
BFAD BDAE
FCBE CFAE
FECB ABAA
ADBE GEGF
CGAG EDBA
FDBC GCGA
FCCD AAAA
CCCC CBEA
GEEB EDAE
GFBC CDEA
AFGF FDFF
ECDB CDED
CFAG EEFG
AACC AABF
FGGG ECED
AFCB EBFG
EECE DCBC
BGFA FECE
FFCA AADB
GGGB DGCC
AFFG AFDD
ACCB FEFG
EAAB FECA
EFDE BDDD
EADG FECE
ADAD EGBD
EGCF FEFG
EDBA AGEA
EFCB GDAF
CAAG DDFC
AEDB FFCG
DEGE CCDE
AFBA GFDE
ECAG CFCC
DEFG FAGA
CGGC GFGC
DCBC CGGF
FAFD EBCB
EFAB BCFF
GBAA FCFB
EFDD DABA
DDFD AGFA
BGCE GBAB
EFBC BFDC
BFDB FDBE
FEBA CFFD
BCDG ECBC
ADEF EEBC
FFBD DFGB
BCFB BCCC
GAGG FGEF
GAAC CCDB
DCCA DEDA
DDBA FECA
CCCB GCFD
BEAE EDEF
CDBE AGEA
DEFG ACGE
ECAC ECAD
AEAE ACAD
AEAA GCCA
ACDE FCEC
CEAE AFBC
ACCB GCCF
BGDA DABC
FFBG AFBB
FGFC EDGD
FBDE GDCA
BBDF CCFD
FEEC EEAA
GAEA DCAD
AFFD ADFG
BBGD BFBA
CDFD AADB
DEBG AGEC
FECF ACDA
DGGB DGFE
EBCE BBFC
BFEA DGCA
BEFA EAGA
EBCG EFEE
ABGG EFDF
FFDE AGAA
FAAD BBDC
DGGA GGFF
CEGC GGCB
GBBE ECCF
ACCA GECA
FCDD FFGD
GDDA GFCF
CCEF GBGA
AAFE AFFB
CABC BDCA
DGBB FAGB
EFCE BEFD
GBFA ECEC
GEFE BABG
DDAD DCBG
FBBE DAAA
GBAA GACD
BBGF BGGC
DGBB BEEB
GDEF DACC
DGAF CCAE
EBCG FBFE
FEEB BCBE
EGBD BCCG
ADFC CABG
CEFA GFFA
BGFE EDGB
DCBD EEFA
FDBF FBFD
DBDF CBFE
GGCE GECB
EGCD FFAC
AGBD ABDF
EDEE DADB
EFGA BBFD
FBEE DEDC
GGGB BFAF
GDGC FDEG
GEBG AFCC
CDAG GBCE
DGEE FEAB
DDFB DEDB
BEGB EGCF
EDAB EDEC
DGGB GCBC
DFGD FEDG
AGFC CGAG
DEAB EGBG
BEEB GDDD
BDDB CBFC
BFCB FCDG
DBBF ADCD
FGDB FCFG
AGBE CBBD
CDCA FAAB
CAEB GAFG
BFED GEGC
FADB FBAB
EBAG FBCA
ECEF DAGD
AGFB EDGC
FGAE EGBE
AECF FABG
