FBDBFADAAD EEEDFAGGBE
FCADEDEAEB FEGGGDFBAG
CFCDEEDCGD FBAGFDGCAD
AEEFAFEDCE GECBBDFBGE
CGAGEFCAFG DCGCCAEACG
CDBDBFGABG BFBEDGFGGA
BEBCCGBDGB GFCFGDEEAG
EFCBFBDGGG GADECGEFAB
FCBFFCCAEA GFFAFAFGAB
BAEGFBECCE FEDGBCBFEC
BBAGFAECEE BCDDCADACB
BDFCBDFACF CBGGEEGBDG
FEGBFDDCCC DAACDBFAFA
ADCBACBFCD FBBCFDBBCF
BDFBBEACEC FGFDEFDCEG
ACCDBDBAEA GEDCCDCCFD
CCABEEDFGD AGCFBCDDAE
DGFEFGDCEB CEDCCCFCCC
EBEEAFFEBG ECDABBBBEG
EDBDGDCGBA GBBEAFCDAB
AAFEFDFFEE BBEGCCCDAC
DGBGDEBGCC GDGDDFFDEE
ECEFECGBED GABCCEDGGB
AGBGFGFAEG DDBFCCCCAA
CFGECFEBEB GAAEAEFCGC
ECBDDAFFBB FABBDCGBGE
AFDECEEGDG DCCCEBEBDF
CDDEDAFGBD CGFBEBDGGC
DAFDCFDDCG ADEFAFGADC
DBEDBEAFEB DFACBBAEBB
ADGBCACFEG EABADFDGDF
BBDDCCBADE BCBGGECEFG
EBBFDFEEFE FFCCBGAFBD
GGDBBFFFFG AADFEECDAE
CAEEFBGABG BABCEDCABE
ABGBCBDFCA EBCBEECAEF
BFCFFDDCBA GBEBFCCAEB
AGBBEEBDCE ADBBCBEDBF
BFCGDEGEGC AAFGFBFCDD
CEEABFGBEE GACGAFBCCG
BDCCFCFBFC GBBDBDGABG
GGDAGDEEGC FEEBAEDCDF
ABFCFCFBCB CFAFECBECA
DBDECBEDBC GAFACFFAGB
DEEBBACCDA FBDEAFGBEG
EDEECCGBGA EAAGGCEBCB
FCFEBFAFDE BCEAGDCCCA
DDBAACFGEB BGAECFABFB
GDAABCGCFA FCFDEBGDAF
EFBCBAAAEF EDBDBBBAFC
AFDBAFBDEF BGFDDGEBEF
EDEACAGBEF BDAEGFADFD
ECGADDDBAG EGGCAFDBGD
GABDFDDEAF GEEBBBGFDC
EECCEBEAGG BGGCBAGABG
GGEADAEDFD BABFCABCCF
CEGDFBCBAD BAEECGEDEE
FCFCGACADB BCEABBCEBG
CFABFADEDC GAEEDBFGEB
EFGGEDABBD ECEBAACBEA
GDFFFBCGED EBEEBGACCE
GFGFGFAACB GCEBAEGAAB
GFDEGCCEEA FGEECCBABD
FBBDDFEGFF AEDBECBDCB
EFAGBBBCFD BAEBBBFFCB
DBEGBGEADF BBGFFABDDD
GCCFBFBGDB CEBFEAFBFE
DFEGCACCBC GDCDECBAFE
FAFACBFBAF GEGDFBBBGF
AEDGCEDCGC EBEFEBCBDG
GGEFFCACEA GABGFAGGDD
DADFECFBFA AAFCAEGDAF
EBEBDECEGG DEAFEAGGAC
GCFDFDGBAD DGCFAGCFBD
DCECGGCCFD DECDACGDCC
CBDABDACCF AAFFGCABCD
FBGEEBGBAC BEBBBFDADA
AEEDGFCCCA CDEECDAGFE
GBGEBBBAAB EEGCGEAEFA
CCECAFCEFA ABGEFEGGFC
EBDBGAGCCG DAAGGFFEGB
AFECFFDDEF FDCDCAFBEA
BGBFECECGE DBCDDBEAGA
ABFEDCABCC BAGGGACACE
GGFGGEFCDE DFADCGCGGD
EBACADBBFB FDBEADGFAE
GBDDFFGDDB BBCFFABEEE
GFGDBEGCEC DEDDDECDDC
ADCBECEFCB DFADCGFGDF
CEGCEADBAC EEACBACBCB
GGAEGBFABB BGFGBDEEAC
FBCBBDCDEF DBBBACFBCF
FADEGFEGCB DFAGEDACDA
GEADFAGEEB GABFFFFGGA
AEGEDBGEFC GAGBFDBCFC
FDFGGEFFBG BBFAFDGDDC
FFFGGBDAGE CACGGDBBCF
FECFCGGAFC GBBFAACABG
BEDCCEABFC EFFDBFADDC
CEFECFAGEB EBFACDGDFC
BBCGACGDGC CAGFAAFBEF
FEDCCDBEBB EBGACCBAEF
EAEEGACCAF GCGCCFFGGF
BDEDFAECGG EDDBGGGCBF
AEFCGAFBDG ADGEAECFEB
GDAEAFFFBA DDGEGDDAFG
DFDFDAFCDB GFFCGAGDAD
BCBEFGFFAD EAGDDEADAG
DDBCCBCBCA DCABGFCCBC
ACFAABCGFC DFFADAFCDF
CBECBGGADD GCBECEFBBA
FCAFFFABAD BEBBCEGEAE
EBEDFCFAEC DCBCDAGDFC
CCBBDCDGDF EBAEABCBDA
CAGCCECDCB FEFDDBDFBB
ACBGEEAGAG ADAFADGECF
CBCAEDFBCD EDDBBDAACG
AFDCCFFCAF FEEFACBEGA
ADEAFBCDEG ABDBBDAACA
CFCDEBAFBF EBFGBFFAGE
EEGECACDAB BCGEDDBGCF
DFGEEAFGCD ADEACFCDBE
BCEDDCGAGG AAGDAECDCA
CGFDEECAFG DBCCGFAFDB
ACAGBABCGD GFEAAAAABE
DFDEEFBEAC EBCFEECBGC
EAEEDGFGFG CDEDCFEGBD
AACCAACEFF CGEECCDADB
FAAECEBBEG EBFAADCCDF
AEBGGFFDDG ACBEEEGEFE
BCGGCCCCCE GCFAGGCBCE
BBGCBABFGA BAGFEGBFEC
FFGAFGFCFD EGFDDEGFBA
CGBFGGDEEB CDFADACEBF
GEGBCDBGBC GGFAAFBCCA
BCGADFFDBC CADCGBFCFC
DABCADEBFE CBBEFGEAFD
ACCAEAGBGE GCCGGAFFEB
AADFACEECE DACFABCCGA
BGBDDGEFAE CFDACEDAAF
GEBGEGCCAB BBFBCCFCBA
GEFEGFFAEB FGGBACBCAD
FFEFDDGAAC EAEEACGDEE
GFDADDBBEA EAGGDFACBG
BCBACECGAE ADBDCBGACG
BECBGBFGCA BCFBEFDBGB
BDFGAAFCDB GBECEFFDEG
DACBAFADCD BECEEBDBGC
ABCCEEGECA EFECAAGDAG
EEGDCCACEC CAEFFBBCCG
CFDCFBDCBG EFCBFEDDBA
FEDGEEBEBC ECFCDGFAFF
DDAGGCEEAD CGCBFEADFA
BFDBGEAFBE DEGEGAAGEE
AABABGGFFE FEFCDCGFFE
FBADFFCFAE BBEBDABGAE
BFBAFCGCCB ABACDFAGED
CCDBABFDFD GBBBABCADD
GABCFDDDGC GGBFFFFCFC
DCBDEECCAG BGGAGEDGEA
DFBEAACDED DDAEEDGACD
GCAFDGCFBD EFEADGFCGA
DGADGFCECB ADCBCACCAF
CDEGBEFCBB DAAABBCCBB
BGEABBBFED GEFCBFCGDF
FBBBABGGDA AEBBCEGCBC
GDBEBGAGGF CGBFEDBAGA
FDCCFDGGEA AEDEDBGEGA
EBFCGEGBCA BBCBCGFBED
EBCEBFDCDF DFDGGBDFFD
DBEDBBAGCE FGCDFFBDAD
GADEBFDCDG CDBEBGGCFC
EDEECGADFB EFEBDEBGFB
EBGAFGEADA DGDAAGEFAB
GGGEFAADBG GCBECEGAAG
CCBBEAEBCG FEAEGBCEBA
DDBDGFGDGB CBBEFDGBDA
FBDEFDAGCG GDFDBEEAAG
FBBBAGGFBG DGBFCCDGGF
BBBGEAGAGE AEEGEEBFFB
CDFCAEFCAE CDFECFCEBD
EEAEBEABED ECBBDFDFFF
GGCFEFDFCA GAFDCADADB
CFCCFFGBFF FGAABBFBGB
BDCBEEGDAB BDBFBEEDDE
GFBCDCCADE BEBFBGGAGB
BFCGFCBFFF CBDFFCAFAG
GGDFCBCDCF AABGDGGFEA
FFFEEDFFAC CCGACCACEB
CCGGCEACGG CEDBFFGDEF
ACCACFAEAB DFBFDCDGBF
DFACGFDADD BCDFAGCDCF
FBACAAFDAD FDGFAAEFBE
BFCFFFAAGD CDCFDCFAGA
DCFDBEGCDC GCBGGCDBDE
CEAAFFFCCF EGFFEDDCDG
BEFGCCEAAD CGFDFDGAEE
GDGABFDCEA FCBFCDCCGC
GFGDDEEEGF DEEGBGAFAG
CCBFECFGGE ACGCBFCGBC
EDEAEAGCCE GDCAFAEBCD
ABCGCFDFCA FBECCFGFFA
GFBBAFBCEF CFAAABEDCC
EADBEECBFA CBADEDDBBD
CEBDACGBFD FDABFDGEEF
EGBBFBCCED ADFBAECAFE
BECDAAAGDF BFEDEEGCFB
CDDEDCCGCA DBFABCBDGD
BEAFEBACEG DCBBEDDGFC
CDFDBEFEGC DBECEDBCBB
EEFGGEBAEB AFGGEDCGBD
CEBDACACGD GEEEGFDCCE
AEDEBCCBDE AFBGDCDCBC
FEBEAECDGG GCBADGDCAG
GAEEACBAFC CAFBGGCAGA
DEGBBDCDDG DDEDDDCBAG
EAGFFABAFF DADBFGAFBC
DFAGACAFDE AECDDACAFE
CDBABCBCAC DDFGBBDBCE
FBFEBGBBEA DBEBDCDCFF
EEBDDGFFDD EEBAEEGACG
AFEBEEGGCG BGCCEAACDB
GCEBAGDDDC FGFGAAEGFG
CADEDCDBGG ADFCECFAAA
EDDGEBGGDA DGEFBEEDCC
FFDDAEBEDC GGCFBFBFCC
GFFDGCFBGD FCCCGFFBCE
FAFEEAABAD FGEFGGCEBE
CCDFFCCCCC BGCFBDBDDE
BAEDDGEAEB DDDCBBDFCC
BAGFDFDECF GEGEEGFEFF
FGEFFEDAEC AFBBBGGCGG
DFGAFBCCFD DAEADAFBEB
FFFCEDGBFF DCEECDEGGE
CCABFGBGCA DBGEAGEGBA
ACABGCACGB FBDGCDGGFF
DCAAFGDDFE EAEGBECCFC
EAGCDCFGFD AGADEAGEAD
EBGDBAEFDG DCBEFBGBGE
BAACBGEAAF BCACDBEEDG
FFBEGADCDC GDBBGBGGAG
BEEBBGBDCE GFGDEGCFGC
DAFDDGGGDE EEAGAEAEDD
BAAFADFCFF ADDEACAADD
BDBGCBGBDE FFGFAFBDBF
AAFGDCDEFE BBAAFGECGD
GCFFDACFAF ECDBAGCEFC
CBDEAGGBFF FDDFFFCCDF
BEFFAABGFB FAADEAGBBD
GFBABAAGAD AGBCFGGFGC
FAFEGAEGAA FFCCGBEBCE
FEFDFEBADD FBFBDEDGGC
EBDCBBDBCA FBGDAECGDG
BAACGGGFGA DFGEECEGCC
CBECAGFAEE AAAFECDGAD
ECBFDGCFGB AFCDCECGGB
DDGAFGCAAA AFCDBDBBGE
FGGDDCCDAC GAEBBBGAFC
GGBBBEDBAA DAAGGCCFAE
AECCCCBDFC EGDGBDCGDG
DCGAEBGCGE FFFCAFGABC
FGEDDFFGAB ABAEBGBFCA
DABABBBDGA DBDADCEGGA
EECDAFCEAG AECGGFGBCA
FDEBEDDDFC FGGEDBGAFF
ADCGADFAEG EEBGEAFDFD
DECBDBEBDB BCEDGAABBA
DDBDCBEEFD DFGGADEFDE
GGBBFBCFAC DAGGGCBFAE
GBEDGDCGBE BCGDGAGGGA
DGCFABBADG GGDBAFGABD
BFABEAFFAC BDDEAFDBGB
CABAEADBFC DGCCABBBBF
FAFBGDDEDA EBABEGCEBB
ADCCDDFBDC GFBDBGCEBD
EGDEFCFACB BABFDGBFBE
EBDDBFDEEA DCDCFCBCGB
DAEDCGAAGE DBCADEADEC
BBECGDGAGA EBGFGEEEGF
AEEBCEFEEA FCCGCCCAEG
CDFBBGGGBC CEACFEABDG
FBGGFGFBAG ACCFBABDEB
BCCAFDCEED ACDEAFAGCD
GGBDBBCFGF DAFCDAFDDG
FBGECGCGEF AECGEAFAFB
CEFBGEDFFF AAADABCCCD
BGBBFADEFF BDCDAEDECF
CCDFBGBDGB ECBBBFDFEF
GAAGEDAGBF ADGCCGFCAF
FFBBGAADFG BGADCACBGG
GFEBGDECGG GCABFCBCDF
AAABEAFBAA GGGGBBBBEC
FACFDCADDE ABFDBADDGC
BADFBADBCA DEGDBCBABG
EDBCAGAAFF CEEBDGBDDG
BEBCECEAEF ECGEFCGGBB
BACDADECFB EBBCDBEDGD
AFDCBADCAC GEFDEFEEFD
EFCDBDEBGD BEBGCAGGFB
CAABCCGAFE EGCCEEAEDF
ACECAFAGCA BGCCEAGCFC
CABAFDAFDD GEGCBGCBAB
EFEBGFABEB GDCABEDDCE
GFFADGDAEA EDCEGFCBGD
GEEECADGDB FFCFGBBDAF
CCCFEBECFG BCBEAAGCFA
GDBEBGCBAE EGAADDDGDA
EGCGGABFDE CFDEAGECGG
DGDGBFEABD CGGECFBEGF
AGFBADBBAE EAAABCBFAA
BFEADBCEBG DEECCBCDAC
BAGABGGFGE FCDGACBCCG
FDBCADFACF DGGFAGGFFC
BDDGCBBEAB EDDBBDBFAF
AGDBECDGAB BECEGCBGFD
EFDGDFDBCD EACFAGGAEG
BDEAFACEEC GBCEFFBACF
CGGEFFAAEE ABFCFAGGDF
DBBACEACDE EFDDDBEGCD
FGFEEGEFDA DDFEDFEBCD
DBGBCGGAFD CEAFCBBFEA
GFDEEEFDCD GDFGCGDADD
FBDFFDCBDD FEGEGBAAEB
BDBDADCDGF AEGDAAFDEB
GFEBCEEACB DCCDEBBCFB
FBCBCCFDEG BAACFDAADA
FGGDAGBDCB CGEAAFCDFE
DCBCCFDEDA AFFFDBCFGA
EAEDGEEEBF ECFDECEBFC
CEEACEBDFA EACBEBEAFF
FFBDDFCFCD CFBBGCFDEG
BAGABBGBAG ECGCCBBGFD
GCCCBCBCBF EBCFADBBBG
CGGGAAFCBF AFFAEBGGED
FGCADCGGAE DAGCEAFDEA
DEDEBGCECA FFABGFDCBC
FFBDDBBFBC GFAFAFGCBG
BFFGFFGDGC CGCFCCEFDB
CDGEEAEFDC GECAGDDGFG
AAFGFDAFBE CGBDFFGEAB
FAFEEEACEC GDEECEBBAA
BCFBCDGBCF BAGADCFDGE
EAECEAEFDC CEDECFBGDE
GGGAAFEDCB AFEDBDBDEB
ECAGEEAADF DGBFGDAFEF
ADGECDACEA CBDGGCFCAC
CFAGCCABFE AGDCBABGGE
EABGCECFCF DEDDGGCFGC
ECBCCABDDC DBBCFADGBC
BGECAGCFEG CFGDCDFGBC
AAAFACABFG GGAECDCEGC
CFFBGEGGCG DCADFCDCBA
BBDCAECEDE BEAGBBCCAF
GBEBCDCBDD FCCDACDDBC
EGDDFAAEED FFCBGGBCEC
CBBFDGBEGF FCDAGFCBEC
DFGDEEBDED DBGCEDEECE
BCGFCCGDDA BBFDADGDAB
AEDAEBEBBD FFBGCFFFEC
GGDCDAGGCG FDGADCCAFC
EBFGEEGAAG ACAFDAGFAC
GBACAFFBDF ACCBGBDCFG
GGAFDEBEFC CAACAFDDGE
DFBDBFCEDF GDEGFAFCBG
CAECCCECFG CACFEGBBGF
BBGEGDBFFA GAFCCAACDC
ABAGEEGAGD GAGFFCCCEG
EFCFDFFGCF FACBFGGEAA
FEDDDAAGCC ABAEAAFCBA
EFECFAGFCD BDBADDBDGB
DDDDCCDABC EFFGBFDAAC
DGBEEFFAEG GEFGCDBDAF
ADBBBCCDDB DBCGEGBFBF
GGBDFEEEBG DGBFGFFDGB
CGGEFBBBGB FCDFGEFFED
BAADDEBBCA CAEACBFDBF
EBAFBGFBCE FDFFBDBDDA
EGCDAFCGAF GFGCCFCBDD
BBFCFDFAAE DAAAGCBCEE
ADDAGBFGGA GCFFECFGCC
ADFCBGCDBD AECCFBBGAG
FFFBGFBDDB DEAFEFADGD
EDAEDFAEDB CEEFFFDGEC
DFAEEDEBDC CBECFDCCAD
CFCEGECBEC GGGCDEAGDC
ADECGFACCE FCDAGCAGAG
EABCDGFCCB DFGDECBCDE
GCABCEDDED BBBBDBGFDC
FDECDBGGBD CEBAFGBGBA
CFDBCFDABE GABEFDFCAD
FDFGCEGCAF ADAADDEAGB
BDEECAADCC FGEBCBAAGB
FCFEEGBBGE BCCBEGBEFD
DABDDGCEFB DDFBCABAAG
FGEAFBBCBA DAAGCEBGEA
DACEDDEFDC BBGDEDFECE
AFDGCEABDC CBEABGBCFC
CDEGGGADEB AGFGFCCCAE
ACGFCECBFF AAGAFEAADG
GABBADCAFA GBEGEACGCC
DFAACECAGC FFABEEDCCD
AAGFGBCCEE BEDGCFEGDF
DBDCAEAAEF DGFBAGGGFD
DGGGCBDDCB DEGDFDDAGC
AFDBDEFBDG CAECBFACCF
EBDDACBAGF BECAACEAFD
BBBCBFDEFF CDAAFBEFBG
BEGFGABFBA DFADGEDFGC
GBBDCEAFEG BAGACDGEBA
DGGAFGAGAA FDBGDDFDBA
ADDGCAAGGG BAFDCFDABD
CEDDDEFEDC EBABCBEGGD
EBDGEFFDGE GCBABAEEDD
AFAFCCFEED BDFCFBABED
GFEBCBDDFB GABCDAGDEE
DDCAGAEBBE FAFDCACBAG
ACDCACDCBB GFEEAGADDF
FECCGCGCAA GEGACCGEGG
AGEDBAACAF FEFAFAFBCE
DDCACBGBFF GFBCGCCCGG
BFEGDFDGAD BFFDBCAGAD
ABGBEGFCDC GECCBEGEDF
BGBGBGEECD GADGGGGGEE
GEFEFAEEFC BEAAADFFDB
FCAAFDEEFF BDDGACGFAE
GEGFDEDAFA DFDEEFGCGC
CEAGAGCBFD FGCDAFAGDG
ECFFCGFBDA CECBBFDEAC
BEDADGAAAD GGFEEFCDGB
BACDDDGEBC CBEGCBEGGE
AGGEFFDGDE DAGBCCEBAC
BFFDADEACA AGGDDADDFD
AGAFGGBGGB AFADDDAEFB
FBDAFEBFGD FAEDACFFGB
DAEEGDFGFB DEDFCABAFB
CBAEEEEDFF CCEFEDAACD
FGGABCEECD BEFDEECGBD
FBEBAACDDC CEDGCECDBB
CAAEEEFBGA AGABFGGFCD
BFGGCBBEAG FAEBBGCCFE
EFEBADABBF ACBEEECEBD
AGFACBCEGB FCFEFCDGGF
ABDADBFABG AEBBBDCCAA
FFADEGFBCA ACGABEGAFC
BCFGACFDDF EEEFGGBBBD
DECDBCGDEG CDEAEEDECC
CCGCGEAFCB CGFFCDBBAB
BABGCDGGCE GBDAFGFDED
DDEDDCAFEC FDECFGFFFA
BABCBEAEGF FFABADBDDC
CEDGFGBBAE DECADFGAFE
AEFECCCACA GBBECAGEED
FFBEBFEGDB EACFCACAGB
BFABECFFFG FEGCFEAFBC
CDBDGGGCGB AAEGFGCDFD
CCBEBGGDGA AADBDCGFCG
GBGBFCDBFA ADBGBBGCAE
EBEEGDGBAE AEACEGFECB
FCCGEEAGGC EBEGBFDGGB
BDFACCBFEA AFDFDDAGCF
AGDADFAECB BBFCFBECDE
FFAEFBGFAE GECCFFAGCD
CADDEAFCGF DAEAGEFAEG
AGDBGEBBEB AEFGFGECGC
GGCFFFDAEC DBEBGDGDCG
DECBBCCFDE ECBBGEAGEB
AABFFCBCAE ADAFFCFCGB
FCCGAFBGCA FDBECABGBB
AFBAFCBEEE BEGBACBBCB
FFGBGFDGBC BFCCBABFCD
FACAFEBACF CCDDCBDGGE
ADGAFBCCBF GADGEACECE
BCCGEDFDGD GEACDFACBB
FFDDDACEGC CCEBGBFDFF
BDGBACAGDD BDACEGEDFE
BGGFCFCBBE FDDDFEAECE
GAGBGGAFGC DGCGBCCFCG
DBDEBDCABC BCACFCDFCD
GABACDGDDE GAEFDADDED
DCADAAAEEG BFDEDGAFFD
CGEGEABAEG GBEDECAFGB
GEGABDDAGE DBEFEACGDF
GFEEFEADBD CDDGFAAFEA
GFADDFBBDF CDEFGDEECB
BBFFGEAGFG FEFAACCEBG
FDECEFEBGB CDACDFBECD
GAEGDGGABG DACGDDGCGF
ECACGDGDDB BCFCAAFDAE
AEFDBCECCE AABEEEBGBC
BDAFDEFCBA EADEGBBCFA
GAGGFACBDF AEFBDEBABA
ADAFDCCBCD EAGEDCADEE
BEGBBCBFFC GGDEGAAEGD
CEDBFGFDAA CEFDAEBCDB
ECCBEGGACG FBBEFABFCC
DFBADFEDAE GFDEBDEDEE
GEFBBAGBEC FADBGADDFE
AFAFDEFFEE BDDAEDAEGC
DFFEADEEAA CAFDFFBBGF
BBGFGGCGFE GDCBAEDEDE
EEGAFGACFE GGFBCBDFGE
ADCBABBBBB BFBDGBFBFE
AFEECBBCEB FBAABDAAEC
FGDCBACDEC BBGBADDBCF
DDADAAEFGB BDBBCGFGCF
FGFBAFFDDC AACBEBDFGD
EDGAEEBCBB GBCDEACBBD
BACCCADDED GBEAADECBD
CEAGBBBDBG GEFBCACFGG
FCBGDFEFCF BDFBEBGFBA
GCEAGCDADD BAGDDAABCG
GCFAEBBDED FBCAGCBFBC
BACGAFBFFG CFFFGGAEGG
CGBAEGECBE FEFBEAGEDF
GCGCCEDAFB FGADGGFGCD
ACEDEFBGGC BDCCABGEFG
DDDGDGBCCE GCBFCCEAED
BFDGEACCCA CGBBADACCC
GEBGCCAAFE BEDGBECEEC
DEAEGCAFAG EAEEBAAEFF
DAEBGBEABE EEEFGBAAGD
FDGCBFEDFD AAEADCFFED
GCGDCDDCGG FAFCEGEAAE
BEBDBDAFDG ECFGCBFFDC
EADACCFBAA GACBABGFDD
GDADEDFEAA FEEDDEBCCB
EAGCFBEABF FCEEBGDEED
CBBCBAFAAD AGFDGEFACC
DBCCCGEDFF DDDGGAAEAG
FEAABCGFFB GBGBEFECDB
AADEAFEGBC ACGECDBABE
GFFGBAEBGA GAFAGEFGCG
EDFBEDEBFD CFCCAEEGBB
AGEBGCABEC BDEFFFDBAE
FCECACFFAG CFGFCDBDBG
EDDBADBAAE ADBBEFGGEC
BEEAFGEGBB EAAAGFCFEA
DEEBBEGGDA DAFDAFEEAF
DAFBEAFDCC AFCABDAECB
ECAEACEAGE GFACFBBABE
GAEEGEFFCF BFCFBDGECE
DCEFCBAGCB DDADEDGDCF
GDBEADCEEB AAGFBBGAAF
DGFDGAFFGG BCCCGAACFB
EGFAAFCGAB GBCBBBDDGE
DEBDEGGDAC GCABEFADCB
CEFFEDGCEE GDBBGEACDB
ACDDCAGFAE ABBBGBECCB
FDDCDCFEBF FECDECCEDB
BCAGGGAADC AFGGAGACAF
CBGEDBDBAA AGBCDGEBDA
GGFGCBCGDG DBFACDCFEC
BFGFCAECCD GFEAADDGAC
ACCFFGACEE CGCBBBCGGA
BEEBFDFFBE DGGGGCEBCC
FGFDCADBGB EGFCEECCBB
DDABDBGBDA EGBFBAGFBE
FEGFFDDCED CFGFEDAFDB
GCEABCGBFF DFGEDBBBEA
BBBAFAEGFF BDFGCFFEAA
AGGABDGEDC BCFFBACFCG
EFDCGCGBEF EDCBFEBFFE
BBEFBBBDEG GBBBBDBFDF
GBBFCFFABG CFBEGBCCDA
CBDDFDGBDF EDCFCCBCFE
CCDAEBDEBD FDBCCBCEEE
AEEGDFAFGE BBADECFEAG
GDDFCAAFAD DAGCGEGBCB
CBDBFCCGBA BDEFBDEBFF
EEEEEDBACD BEABGFBAAG
BGDFCAEGFF CCEGDAECFF
GEECDFBCCA AEDGBGEDBA
CEBFGADEFB EEGGEDAAEF
CFFCGGGCCA DEAEAAEABA
BACFAGDABC FBEBCFEBAG
BAGAFFFFFE ECBEABCFCD
CCDDBGDGBD GBDADFAGAC
ADDDGCDCAB CADEDCAAAF
BBAEGFEBCA AEDFEGEDAE
DDFBFEEBAG AFBGDADBBC
CGAAFDFGCC EFEDDACFAD
AEABCGBBFG CBBCDCBBBC
DCGGGFBCGA DDGAACEAAG
BGECFAEGDB FFBBGEGBAG
BFCFEFFGGA CECECGCCBA
CDCFDGDGFF EGGDCBFBAF
GCEFAAAFBG AGADFEGFED
BDFGAFEABF DFDADDGBBG
BGGFFAEGEC EBDGEGDBGB
ECCCGGGEAG DAGDCDBCAA
DEEBBDAAAA CEAAGCBECF
AAAAGAGFDG GACCFFFGDE
BFABFFFAFD DCEFBDFABC
EDEAAGFGEA BEFGEGECFA
DEGEFDAABA DFFBBEAGFA
BBCABDDGBA DGGCEEFDEC
GGDBFBECAG EFGGFFAGBB
FCAGDDCABE CDDDCDBAEG
GGEGBFEAFD AEGEGBECFE
GCFGBAFEAD GBCFCBFBCD
CFBCBAGGEE FEFGDADDCE
CGACCEGCGC EFDCBBEAEC
GEDBAAEDFF CCFEGBFCCA
GAEFGDAGBG CBEFAGFEDB
BDEEGEFGDE AEEDDECEGD
DEGGFFGAEG ADBDEFGGBE
CFFFABGABB CCDAFDECEE
GCEFBBBDFD GGBDBEACFB
DEDEFFGDAF DCFADGCCEA
FDAGDAGEAB CAAFBCGBAC
DDBFECDCFE GDCCFDDEFC
ABDCGBCBDB AGDABBGCDD
BDFDADECGF CGBDFFDEDG
FAGDEBBGAC EFEFCDFCBE
EGDCDCGBBC DGABAECDGE
BDBGCEAAAC GECFCCDFAB
FEBDFGEADA BDFFGAGEFC
DDFEGFBGDA GGEGFADCGG
CCCEEFBEAG EBGFGFABFF
ABGCDCGBGD ACDEFBBCDC
