FFCDBEGBBC FDFDBDBDCG
EECGBACFFE DDGABDBDFD
DFCADFCBFC DBEDBDGBAC
CACDAGFDEC EDCCBEBCBD
FBGCBBEGEE AAGEAFBFGF
FGBCGGAGAE BFBGECAACC
ECDDFDGGCG GCCAFEDGGF
AFEFAAGEEG DDDEFFBBAE
AGFABFGCAC GBCBGEGDAF
EFBGFAAFFB AECGCBBDEB
BEGAFCGCBD AEDFFEBDCA
GDAAEBFFDA DAAFDDFCFF
GCDDACEGDC BDFFAFBEDB
EFAEDCBAFF AADGBGFGBC
EGDFCGAGCG DFGBAGFACF
BCBCGCAAAG GBCABCDGDC
EGEDBEACGF BBEBDCEBCG
ECGAFGDDDB GEEBEGGAEE
GAEFBBGEFA CBFEFDAGED
EGFFCBGGAB DCEEEEEABF
ADAEAEFCBA FBBBAEDBDD
FDGDADAFBE ECACFBDDGG
EGECBDDADB CCBFBDBDDG
DBBCADEEAD AEDFEBGECE
FGECEFAEAD CBCECADECA
EAGCEFCDGA CADDCAGFDG
GGCCDBAAAF FGGDFFEGBE
BDFCBGBEDC FEFCFEFAGD
FFFBBDFFGC GCFGBDDGDD
ABCFBGDEGD CAGACBGADB
BFFADGEADD EEFCABGFEF
DEAGACBDBF DBCEEAGEAD
EGFAEABFEG AGBDDDFGFD
BADCEGCGEB ECBFGFGGFC
ECFGFECDGE BCDDAAFFGC
BFBEEFAFFG DEDDAGADDG
EBGBEFGAAC EEGDBBCCBE
DFBDGDDAGG FFGCCADDGB
EFFFGAEEBD DDEBCCFBCG
CACDFFCCFC DEEDFDGCAB
FGBBEGGGBF AAGCGEBEGE
CEFAFDCAFF ADDEEFEDCE
EGACAGAFAE CAGGGEEABB
EGGBEABAGC ADGEGFFDGE
EFGGADFCCB CFEDEAADGB
EBDDCCGDAB BCCBEAGFAC
CCGEBFDFGB BBEFFGEAFF
AAFBGEECBF GGEBEEEDAC
ECGBACFGDE DDDBAFGBEF
AFBBGAFEGG AFDBDDDACF
EEAACACDFE GDCDDGGGAG
AAGEBGGABA AGBDEDAAEE
FCCEDABGFF CFAFDBEEEG
EFBFGCBFDG DGGEEBBBEF
AFDDFFCDEF EFBFEFEGDC
CGCEFCFGGF DDEEFBEFAD
EDFEGDCBCC FCABEGGFAC
GAFEGEFBBA FCDGCDADDB
AADACAAECA DFCAFGCAFB
BAGBBGFEEG AAGCGDDCFC
DCGEBGDAEB AACAEGCAGF
DGGAEAGEFD DFFAACCBGC
AECFDEFBEA AFFBAEDFAC
EBEFEDEGEG DFADFABCCF
GFBEDBGEAD AADDFAACAF
AEEFCEAAEF EDFEBDCDCG
DAABDBGDGE CAFBFCCEAB
EECGCFEEDE GAFGCGBDAA
BGAFEGGEBC DDEECADEDE
CEBBDCAFAG DDBCAGAAFD
ECAEABEACF DGGDFCEBCE
FFGCGGCGEB BCGFFFGDGD
FDFFGCBCAE BGBEFADGFF
DGGDGBCBFE DADGFAEEGE
AAGGBBCGCF GGDGFDDGCD
FEBCEBEEAF FEFCGDACAG
FBBFABBCFD EEEBDBBDFF
BEDAFBCCGF CGFEGABEGA
GABDAABEAG BCGEGCDBCD
CBBABFFGCG BDGDCBFDFG
CCGGGEAEDA EFBEEEGCBD
DBFAEFDEFG EGDBBBDADD
GGFFAFEGBC BBABCEBCFF
DDDABGFDCB FABDDGBAGF
BBAGBEGCDF AGAADFFFDG
FAFCEAABGD DAFFCEDFBC
AAADEGFEBG BBCBCGACED
BEDGFEDDDA GBADAGDBDA
EEEEECDAFG FEEGDBBGCD
BECEDEFEEC GBECGGCGFE
BDGGFACDGF GBBECGCDAF
CCEAEACBDE GCBAGGFEBB
CFGFEBFEBC FCBCCGBEEE
GADFFCGGAF ADDABCEBBF
BFFGDCEADC FCGCDABFBE
GGDAGACEAA DFGGABDCEC
DEACFEGABF FABEEFADGA
EFDGGBAGFA ECGFCDADAC
AGCFGEBEBA ABBCBBBDAG
BECFBCEBAG AFGEFDGCBA
FECGBEBAGC BDEBBDEGEF
FDCEFFFDFC BGEBEGBDAC
EGDDFABDAG GAEBDEEDBC
FCGFFDDFEA DGGGEDCDCB
DADAFGCFFB BCBEEBACCC
DECFDADBGE DEDAEEDCCD
AFAFCAGAAA FFEEADGBGD
CABDFACDGC GDGBBBDBCE
AFDEFGECAG BDEBCABCDF
CDEFBDBDGF EEFGCEGACC
GACGECCADB FFAADEGAFB
ACECDDFCCC DCFFFBFBFA
ECEBADDDGB GDECFFAEAB
DBADBFBDFE EDCGABGAAG
FDGCBFCFDG AGBGAGCBDF
GGBEDBACEE ABDAGCAEAD
CFEEFABFDE EDBBAEGEBA
BCDFADEFBB BGBEACFGEA
FDDACGBAAE ECAGEAEGAB
GCBEEECFFB EEEDCCDBEF
AEDCBBGCFF DACGBACBGF
CGEAEGGDBG ABAFABGAFF
BAGGCCGEBB ADBEBBFDEA
EAAFDCCEDF GGFGAEAAEF
ABACBBBFBF DGEEFAFEGD
FABDECAGBE CABBCDGAFF
ADEFBDDCDD AFAGGEBABD
GEFBDEAGAC CGCGFDAFFE
DGABBECDEB EBFBEDDCCA
DEEGGBBBDC GCECBEFGEB
GFADEAEEDA BCBDGFGAFC
CFDFGFCBEC EAEEDBDGCE
DCGCBDFBED FBCEFBGEBD
BAGABCDADG GBBAGADCDG
ADFCBFGECC GCEDDCDGBD
DABEEGBABE FGABCAGGDF
CCFEDDEEBD DAEBCEAACE
BEBGBGEDBD CGCCFBBGGG
AFCGDBGGGE GACFFFFDEG
EBEECFCDCD CFEDAFCGGG
ACBCFCCGGC GGAEFEEBGG
ACAAFCAFFF CBEFDAFEGD
EFFCDFBEFF EGGGFGCDDD
DDAFDFAAEB ECCADDFGGG
FFBABFBCEF DBDBEDCCDG
GFCFBAFGBA FGGACCFDBG
GFFBFAGGAG DDCDECCDDB
EADFBEDEAG ABABDAGAAA
GCBGBGDGBC EAAACEEDBE
CAGGCEGFBE DDABBAGEAB
EDFCEEACFE CFCFCCGBAE
GFCCDGBECB EECFAFBEAG
GBCBEFDECC BEDBAGCBDE
BBFEADBAEC AFEGCEFFGD
EGGEGGECAG EEDCEDEFFA
BBGBABDFDA FCBFDGCGCC
DFEDGFAFGA CEAAGFFDAE
FCECFCBBBC CEBFDFFDBA
ACCAEAFGAG CGCGEAFDED
CAEDDCFDFG CDGFEBAEFD
FCDDCFFDAC EADEEAEEBA
GEAFDAEABE GDAGGFFFBG
GFAFDFAEAG DACDEEDEGF
GGAEADAGFE ECCADGBDBF
CGBEGACCFA BGAGGBFABE
DGFGGCAEAC GDEFCBCFEE
DFEBCFECGC FDFBEGFDFD
GFEEGGDFDG ECCGGGDAGA
DBCBBBFEDF DFGCDGDEAA
FFGCDEGBED BBDDEDFFCG
ECBFAEGCGB ADFBBCBDFC
DAACFBFFEB ABAEGCBBFG
AFFCCGDCEA CDEFFFGABE
BDACBABEDD DFACEGAACG
ADBFFAFEAE DCCEFEGABC
FDEFGEADBE ACCGCGBEGE
BDCAAEGAGB AFGAGEAAAD
ABGADBDBCD GEFDDFEACA
GCAAFFGAFG FBDAGGEECA
CDBGBGGEGE AAEFBECGFF
FBGGFBBEAA DADBCEGECE
GECABFFEFC DFEEGFDCGC
BABGDBGBDB DGEDEACBFA
BAGEDACDDD DGGBAEBDGA
BCDAFFDEAA EGCBDFFBBE
BEEFBDCGDF CGDDGGGABC
DBEGABBBEC AGEBBGEEGD
DAAFBDFFDG CBAGABDDDF
GGAAAGBACC ADDDADEDFA
CADGFDGGBF GGDCGGAFBC
DDBFCEDBCD FDGBGFBFFE
FFEAADDGAD CBECCAABDE
FADACECEDD FDCGFEACDG
GDDDCDCCCG DEFCGDAGAG
EFDAGEGBDF EGCBDCFCBC
BCGGFFBAGA DECAEFDBCF
DDGBGGFCDG AGFGCFDCCD
EBFAABDCCE BFECBBGEFC
CEBGBCGFFG GDDBACFBDC
CBFAGEAFDD DCGBDFCBAG
BECFGCFEBG EFGGADEGBA
FABGCECCDE DCBEGBDAAF
AEEBAADFCA ACBBFFCCCE
GBCDAGFFBA BDFEFFDFDE
EDDAGAFDGF CGCFGGCABF
FEBCEEGDDC BABCBCGDGE
CEFGBCDFAF AGFFAABFBF
FFEBGFFCCC FCEGFBDEFA
DBABCDACFB AACDDFABFD
FAFDGEBDEG EBBFEBDBAB
ADAEBEEABD FAFCADDFCD
BAABGCFAFG DBDDFBBGGD
FBAFGBCFBA AFGDEGBFBD
CAGAEGBEEE FBFAEGCCAC
FDCEDAABAD EBFCFAGBEA
BDAFBGCADC EGEDEBAFAA
BDGADEECDF AAEFFABABB
BDCECCEDFB CCGFBEEGDA
BBDBGBBDDB ADCGDCBAFD
ADDCFBFBEG FDCBBDECEG
ACEEBFABBB GBEEEDCBBD
AAFFGEACEG BCGCDBGFED
FFBACGADCF CGAACEEDGF
ACEBGFEGBG FEBDDAGGGF
BCFABAGEED CGEBDDBBAD
BFFABCFDFD FCFBDCAECG
FDECFGCCGF AECECBBBDC
EGBBFADBAB DBGFGAAFAA
FBGCCAFGBA FDFCGBCEBC
DCBFGFDDEE AEACCDADFG
FFDCFFBEGC FGCGEDAAAB
GGFDDBDBGF FGGCEEAEGC
GGBGGACDCC FBGDGBAADA
DBGFDAGFFF FCFCDEFBEB
FBEADGAADA EDECABEFGB
EFBGADEBEB ADBBADGFCA
CEFFCCFCDC GGACCCCBCC
AGDEBEDGGD EFCFADGGGF
ADABGGDGFC BDAFBFEGGD
DACEFBEDBG FFDFCCFCFF
FGBAACCGDC ECGBDADGEF
GDABFCCAGA GCBEFDEBAC
CGCFDAAABC FBGAEAFBDF
CFBCFEAECC DECGDCDFBE
ABBCCGCAGF ABGECDACDF
FGBBFAADBC GDBGEFBCGA
CAEBBADDGB DBDCAGCGDC
DFCDFGGCBD BBEEFAAAGE
BDFBBGGAAA GAABAGAABD
BGFCAFGAEB ECGEFFFCGE
FBABACFGGF EFDAGADEFF
FFCCFBDDBD GDBECFDGGF
AFDCEACCDD FGGFDCBBFB
ABCDFBFEDB DCBGEAAFCF
BCEFEEFCFF DFCEABDBBC
AGBFFBGDBC BDEDCGFGAF
BAFAAAAFGC DECGEGDDDB
BACCACCDBE DGDBDFCBDA
BBDCFBEBDE GGDBBCEBBB
BDDDFGGBGG ECFBDAAGAG
DGFEEAFECD ACCGCDFAEF
BAABGEBGAD BADAEEEEAF
CCEDCFECEE GCCGEDGCDG
AEEGEDAFGE ACGFFDCEEE
GECDFFEBCF ABEACGBFFG
BECECEDGFA GAFEAGGGEE
DBCBGCFFFC AEACDGGDEC
BAEDACGFDF FADBGADGDB
AGAFBCEEBF GCCDAFEAGC
GGAACDEEGC ACGAGBAEFG
BGBCFEFBDE GBDEEBCABE
CGGFBEAAAC ADGFGFFFEA
GCDECGDFFD EEGBBEACAB
BCACEEBDFF ACAFCAAACE
EFBBDDEGFC BGEEFCCFBB
DBCAECCDFG BFFEFAEGAE
CADCAEBDBD FCDGBEEFFA
CGADCACFBC BEAGFDABEE
BGDBCFAADG ECDAFBEADF
FAAEFEAEBA EFEGGEGDAB
GGFECBGECA AGDBAFFFCA
EAFAGGEDDD DBCEBGBFCA
FCBEGEEFCB GCDFCEDBED
CGACFCEDEA BGAFGFBDGA
DEGCCGACCG DEEBGCEEDA
GFGEDDGFBA CEFBGCCFGE
DFEAEDGEEG GCADCGFFAG
ADFEGGBFGE GACEFADDEC
BEEDAFFBBB FEECECEACE
BBFGGFCABF AAAGAADDFA
AAABFGDEAA CCCAGAGEFD
FGFFBGAFDF CBGAGFEEAF
CDEEEEDDEF FCDECCEAFC
AGCBCGDFGA DAEABDBFCA
DADFAGDBBF GFCAAGBCAA
DBFEDFFABA BDEDBFDDFC
BADGADFFDD AEABGCEECG
BCFGDABCEE EGGFGACEGB
CEGBGGCCEC AGDGBGAGCD
GGECAECEEC DCGECCFCFE
EBFBCGEABD CDADEDCGEA
GBAEFGDBFG DDBEGAGCEF
ACFECAAEDF AFGBCFABCC
GGGAACDCCA CFCEBDAFFF
DCGCDDACGC GEGGBAFBBG
AFGCBDDCEE EBBGDGDEGG
ABAACAEGED BDGDEEBFGG
FEABCAFFDC FGDEADAFEC
GDCGCFGEGG EDEECABEBB
GCBAFCECGG AEECGGGBAG
GABAGGEGFC GEGDEGGEFE
CCACGABFCA ABDEEDGCDF
DBAFCGCDAG GDABGCCCEA
CCCDEBBFGB DGECCBDFDD
AAFEABCEAE FCEDFAFFDB
GGAFEBDFEA GAGEFBGFEC
FGBFBABGAB AEDCFAGAFA
BBEDBGFBFA EGBAECFFCB
EFBBFCGDCB BADGGAADCE
FGCDCCFDEE DFEGAFABEB
CCDCFCAGDD FADACEBDAA
FGCECFCAEF ADFCDBGCFE
EFFCCGAEDC AFGFEGDGGG
FBAFBEFEBA CCFCGGBDGD
BAEDGCDAAG DGGBBBAFEA
AAGGECFAFA GEDBGFBECD
ECFAEDDADF ECCEFDDGEC
AFABGCBAAE DBFGABCCEF
ADFAAACCGF CCEGEGDGDA
CBGFABCGBF DADEBBCCAG
ADBEFADADG BAECACCCFD
AEFCFGFDBD DGDEBADGBC
AGABFACDGB ADGFACADAA
FFADAACCAB ADAEFEBFAA
CFGFADFAGC BFAFFCCFAB
CDBAGDAFEB EEGFECFDCG
AGBDBCAEAA DBGDCFAAAE
CDDGGCCEEC BBCEEGBBDG
EAEFGFGCCD ABCDBAADFA
AAGEAAFABA CFBBEBFDAD
CCGDGDDCGF GCDDFADEBD
GDCDGEEGDC DAACCEGAGE
EDGABCBABB EABFDFECFD
BEEFDFGFDE BCBDFEFAEA
CAFABGBBAE FBDEDDEFGB
AFABCFACBD FBAGFCGFDE
FCEFDFAFGD AFDDBABABD
AADAFAADGA GGBAADBCFE
GCBACCGCED GACEGCAGDF
FDGGFGGBGC ACAEGFCCGB
GGAGGCDDDE BFEFGEFDGD
GGDAEDFBCG AGBBEGDFBE
FAADECACEF CFBEABFGDC
BBBGACGDBG AFBGDDFEFA
ACEBDDGBCC FAACEBGDGG
CCDBECBEEG FBAFCEFBBD
DEGCEFGCDA CDGDAGBEAD
FBGGFFCBCA FCFAEGBBAD
DFFECDEEFB GDDBDEACEF
EBEFGAFDGA CFEABDDBAE
ACAEFBACCA DABAFBGBBA
BCCFEABGAE DCFBGDFFAC
GGABGGCDGB GDEBECFDCE
GFDAFGDCDC BBAEDAADAA
FBEDADGFDC ADBFCEFCDD
BBAEBABGEB FCCABBFEGC
CCDEDGCGEG BFEEGFDBEG
BAEAAGCDBG EFAAGCBABA
BEDCDAEAFG EDCGCGCBGB
ECBEAFAGBD DCAGAGCBCA
EDABFBEBGA GGEBGGADDA
GAECGBAAAA AFFCCCACBD
FCCCDGECCB CBGEGAAAGC
BBBABCAFCC CDDCCAECFD
DDDCFDAFBC BDCDBAAGAD
FDBCCAAACD CACGFGCCEE
ABDFEFDBGA EDGCGADFGD
GFBGDBFDAG DCADGGFEEB
DBFCAEGFBF EBDCDGBBEC
GGDEDDAEAG GGDAGBGBCA
CGDEDCGDCD EBCCCEADAA
DEFAECGGDB ABEEGDBFEF
FEFBBFEGCE EAFCFGCADE
CBFGABACGG BBBBBBAGAF
EDFFGDFEDC FBCGFBCCFC
DABFBBABAA CFFGBFEADC
GCFFBAAAGA GFBBDCGGGG
AFEFEDDFFC FFBGEBCGEE
ECFCCAFCEE FBCEGAEBAC
DGEGBCGEFA BCBAADBCGA
EFCABEGDDD AAADEDGGCB
DBGFCFBDEC BGDCAFBBFB
FFDEEFEAFB EEAECEGFCG
EFCFFCABCG BDGBFCCGBG
DFAADACBGA FAGFBCCGFF
ADGFEBAFGB DEEEAGFACG
CAEACEFEEG FFBGADBGBB
FCDDGAGBGF CGEDBADBCA
EEGGDEAFCB CDCBFCGDBD
FCFBBACAFG DGGFEDDAFA
EGDEAFGCGF ADDEEEADGD
GAEFGFDBBD EAGABBCEDD
BFDBCBBAFE FBEGBFBGAB
BAFBEEGFCG DDDCBEDEED
AGEGADGDFB CEFGBGEBGA
FGDBDBCBBE GAEEAEADDG
DGFDACFGFF CCGDEADCGC
CECFAEECDF DFDACBFFGG
CGDCACEGAB GBBGDCCDEE
FBCDDBGCAD AGCBAGBDFA
AFDFBBDCGA CAGAEBFCFB
BGFAFEBEBG DBABCFGDDF
CFFDEBGCGG AEGCDEECFC
FBFECFAEDF FAAGEDDCCF
AGBGCBBEEF FEAFDBCBGE
GFGEGDGBBF BADEACGEGF
ACEAAAEDGE EBGADBCCGB
DFFFBDDBCA DFDFEAEBBA
DEEBEDGEGC ABADGFBEGD
BDDBGDBGGB DGEAGGEFFG
BGFBCGCAGD GEEFGBEFAF
EECACDCDEC FCAAFBACDG
FGBCEEGDFF EEGFGEGABE
AFAEFGABBC DEFCCAGFAD
BDEBCADBBC GFFCDGEEGB
AEFBAFDBFA EBFGFEABCE
AFEFDGCDCG DACACCEEBD
DCBFBGAAFF BEADBAFAEF
CFAGGECEEF CAFGGBCCFE
BDCFGECDBE BEEBFDAFGE
GBEDBFGFDB DBGGCGBFBD
FECBGCAEEC CFDEDBBACA
GGDBACAAEB BBDAAECFEC
BEACAAEEGC GGADDGCBEB
BEBCECGDDD DAFGDADBBF
DGGFADBECE GEDBDCAFBC
FFBBCDBBFF AABGDGCFAE
ADAFADBAFF DDBEEGGFED
ABEEFCFDEB GECBBBFCEG
ACBCAGBDAD AFDCBDAGBC
DAGECBBDGB DEAGCEGAFE
DBCGABGEAE GFDCDEBDGE
EBBEBGDBGD DEBFFEEBEB
ECBCEEFFBC AAAAGGECBC
CEGEBFDAFD BECDBDBGDB
GCEFBCBDBC EAAEDDGCGA
CEEFFEACFB DAFGGFGCFA
GCEBGEDBDB DBFFDBAFBC
FEDGDCAAAB BFCAECCBBG
EAAGGCFFGB CAGCFFFAFG
CDEDBFGDGF FAAEECCFEG
CBBGEBGGFG FBEBABAGCG
BBBGGFAEFC EGDCBBDGDD
ADGGEBDBDA EFBGBDFBGB
CDEDCEBEFG GDECDBEDDF
FEDFEDDCDA DBFCFBGFDD
CCFCACEAFF EEABGAFGFA
DAGBEEFFFG GGEAFEAEFB
EEAEGDCAFC DDCBGFBEFC
DBAFCAFDAC DDBGBEDGBB
CGEACGGDGF GFDADCFCGE
CDACEBEADG BCECAGEDCF
FBECBEDGCA GDCCAFCAGB
FGBFFABBBE DFFFCACEBD
EAGGCAGEBA CBFEDDCBEA
CDGBDGFACB BFEAACBACA
BDAGAGEDCG BFBGACBGCA
DGBBABGBBG DCCACAGDGE
EGGDCFGFDC GDDACECGEG
BBFADDBFDB DDGBGCCGDC
AEBBGEAGAD DFDCGAGBEA
AEEAEBADEC AFBBABCBCG
ECFCDDFBFD CEBFACFGGC
BFFABEEAGF CFEFBDAGGD
ECEFCBBBGC GCADGAFCBD
AFABECABGB ADCAFECAGD
AGEEABBEFA EBECGABACD
CBBDADBFFG EFADFAAECA
DAGEAGFBDC FDFDCCCADE
CDGFCFGAFB CDBGCECCDE
AAAACADCCD CEAAAADFGE
DCBAAAEGDF GECCCFCFDG
AGFCEBGFFB BAFACDFECD
FGDCGGGBCB ECCADDGADF
EEBBGGFECF AAGFAFFBCB
GDDFAGBADF CEFCCACFDC
BCADCGGECG EFDCEBGAAG
FGAFGDADBE GFFGCADBDB
DGDBDFCCCE BEDGBFGGAF
AGABFBACCE EADBACABDA
BFEGDCCEBA EBADAABEAA
GDCBFBFBBG GDCBCECCFG
CCDFDBDBDB DGCFEGCFBE
BECFEBACGE EAGEDFFFFF
GBBAGABAFB BEBGEEBEDB
EECAAADCGD CCDFCGFAGD
CGEGADDCED CEABBGGGAB
FGDCEABDCC FDFECBAADA
DECBCBGEGC EGCCCEABDC
FECFAEGBED EGAGFCBAAF
ACGCBCFFEE BAAECFGFFF
FCBFAFAEAF DDGADDAFDE
GFDAEGAAGE EBDGEGGDDC
ECDAFDDEGD ACBFADADGD
DDGGECGEGG BFFEFFGEGC
FEAECGCCEC GACFBDCDGG
GAFGEDCDAG AEBBFBBDFG
EFACDFDFFF AFGFCFGBFA
FEBBACAGDG CCFFFGGGEG
EGGAGGAGEB CDDCEBBCAG
BEDDECFAAC GDFBCBBACF
ADFEAGBBDB CBBFGFDCDC
CEGFGFGGCA DGAACACCGA
EBBFGBEBGE GBEEFBDCBA
GDECCGFEDE BFAEBGBAEC
EDFCEAEADC BEAFCFAABD
AEABEEBDBB EFFFFACGBA
FBACCBEBAA DCECBBGCDD
AACAFDFDCD EBEACFADDA
FCACGGFBAG BGFEGACDAC
FDAGDACGAD GDGCGBABBA
BGAAGCDFEG CCCCEGEBAE
GDAGBABAAA CFECEDCEAG
BCFCGFAFAG GGECDEEEAG
CBDFDFEFBA AAFAADDEGB
CFGAABGEGA BDAAEADAEA
GFGCGFDAAD EADCBDDBEC
BEBCCAAFGA FBFCDEGBDF
BEDDDFFBDE BBBEFAEAFG
GFABADFECG DFABCFGDBG
BGBAACEEED BEBBDAEBAE
EDAAGCABGB FCDGFBFDBG
EAEDABGDFD ACDBFFECEB
ACAAEFEGFA CEEEBEDDCF
DFAAGBBFAA CCAAGAGECE
EDDDCCEDFG FGCEAFFGDC
CGBAGDDGAF EFCGEEFBCC
AFAFEECFCE EBDDDEGGAE
FGFFDDAGDD EDACFBGGDB
AEEGDEBBGF EEEGGBACDG
EBDDDADFCA EEGEGEFBDE
DEDDBDFBEE EGAGFECGGE
EDDGBFFFGA BGEFEGFAFG
AADFAAGBAD FEEEEGGEDB
GCCCGGDGDG FADCEBGGDC
CCCBAEBDGF EDFBCFGDGB
FGDCBADFEE AFAGADFCCD
FBABEGGGDB CDFEDBBFGD
BACDAFFAGE DGFEFCFDBE
EEGFDDGGFD DGFBBABEEG
FBEAGBFDAF EFEBGBEFDF
EBBFEBADDG AEAGADAACF
DCBBFBFBGF DBEAEEFAEA
BFEEECABGG EBBADBDCEG
ADFGCGGCDF GECGEEFEEC
ECEFDFDEGG EGFCBDDECG
EECFFEAFAC BCBCFBGGEF
FDDFFBBADC CCAFAFDBBG
DGDGGBCBEG EDEACBDEBC
CDGFDCAAAC BCDGGBCCBG
AFFFDCEAEG ADADFGGFGE
GDEFBGBFDB BDAEEFFEGG
GEEFGBCEEC GABFEGGECF
ECCGFCCFFD EEBDCEBCAA
AACACGEBAC AFDADDCBED
GGEFEDABGC CEEDEDCDDE
DAGEEDDAGG FEEDBEEBCE
FACBGABGBF ACBDABGFGD
CABACFBECB GCDDCGEEDD
DFCCDFDADD BGEBDEDGFB
EGEACAAGBA CCEFCGCGEA
AEBECDACGC AEBGAGGBCE
DFCCAFABBG GGFBCDBEDA
DGCCCECADG CGECBBFCBG
FACDEECGBD BFBEEECDEF
CGCADDBCFG EFDEGDBEEE
CFGCGFGAFA AAABBAADDG
EEDFBBDDEG CFAFEFFGAA
ECDDAFGBDE BFFFDBEBBB
BAEFAEGABF EGFBFADBFF
ADFCGFADDC DEGAGFAAGF
GEGCFDFFGE FAFCAGBCEG
BBBBFAFGDA EEGGDFBGAG
DFGFBBABGG GFGEBCDGFG
GCDDGFFFBA GCFFCACEGA
GFFFAGGBFB DFBDAFDEFB
DAABFABBDC CAEFEGEEFB
ECGDFGBBCC EDACCBFEBA
GFGEAACBAF DFFFBECGEB
CABCCAGFEA FECCEDFBBE
BABEEAFGDG BECFBGDDFG
DCBAFFGGED BCCCGGCFCG
GAGGCAGAFA EFFCBCGFAG
CBCCGCDDBC DDFCEFEGFF
BCAACBAGFE GFBAGADDBC
FFBDFABGCB AGFACAEDGB
CDGABCBECE BDFDGCGEDD
ECAFDABBDC CGAEFEDCFE
GBFFDEBBGE FAFGFGGFCG
BGAGGCCCBC BDADDBAEAD
GCEABBDDEC FCDBCFGAGF
EGBFEDBEBA GADGBEBACG
GBAGGBCEFB GDABFADAEG
GEGAFCACAG FDDEFGDACD
FBDGADGFEE BCCEFGAGFF
DFEFBAEAEF DAFABAFFAA
ACDADFFDCE CBFAEGGAFD
AAFEABBBFD GGBDFDEBCF
CEDGBECBCD ACAAABCDCG
GCFGDCDECA DBAEDBEFFD
AFCCGBGFFC CECDCFEGEF
DFBBDGAGFG ABGBDGDAEA
FDEBFGCFBG AEGAAAGFCF
BDEDGDCBGF GEBFBCABFG
EGCBDCGDGD GDBFCDADEC
EEGBGCCFDF DECFCGCGBC
BDGFGBEGCE CEEDECACDD
EBFDADDABF GDECECDECG
CECFEEADCA CACACDBBDG
EGDEGDCACA EBEBCBAFAA
FFEBGCDAEF GDBBEDDCGC
EDGADDGFDD ABBEGEEBFC
GDDEABEEAG GDDFCAAACD
EAAEAGCEFE DEFFCBBBBG
CAAGGDFADF ADFACFGEBE
FFECCFGEBD EFCFBBDEBE
BGCFGDAECD DCGDECFCAD
FDAFGFFDGF GEBABCCGDA
CEGDDFBFAB EGACFCBDDF
GEECFFGFDD FDEFEFGAGB
FCCGGBGFFD FDAFGFDEDE
BFDFFABFAD GBAGCEAGCD
CFGFGCGEDB FDFAGFBAFD
EDDGEEAEDF FFBBEFDGED
CGCCCBFCDG EADGBDGCCC
DGDBECGBFF EBEAEFACFD
BADBGGAFAA ADFBAEFDFC
FGGEEABDAB FAGBDCGGEG
AAAEFEGAEB EAEGADFFCE
CBFADAEFCC AAGEDAFBDD
BGGDFCGBAF ECCCDCFBGG
ADEDAFEGCC FFCECDBBEA
FDBDEFCGGD FADCAFEDDG
FGCDCFGCFE CBCECEGAGE
GDABCEEAGG BDBGCBDEGC
BFAACDAGEF GBDADCBBDG
DBDCAEFDCG CFCFGAADCD
GFABCBAGCG GEAFEDDDGD
BFDCECCGGG AABEGGBEFG
CBCDACBAFD GEFFFFFEBA
