FECD FDAD
AAAA BEAC
DAFA BDDE
AAAA FCAA
CAFG ECBB
GCDA AFAA
DDCE FAGC
GDGF AGCA
GBBD AGEA
AABD FGBD
FEGE GCBA
FDGE GDGE
ABCG BGAD
GEDF FBED
DFAF BBCC
AFAB DBGF
DCGB GCED
AFDC AFFC
AFGB EAGB
AGCF FDGD
ADCB AFDC
AGCC CBBF
EFDB FADG
CBBE AGDB
ECDB FGGF
BEFF GGBF
DFAB AFGA
AGCG FDDC
CFDA AFDD
GGCC CGFB
GCCC AFFD
FGEE DBAB
GBAB FFFE
BCGF EECE
AGEE FDAB
DGBF FDBF
GBGC CDDA
EGAC DFCF
EBFA BGEC
CDBA EFFG
GEEB DCAE
FCFF DAFA
GEGG CCEA
DEEA DCDB
ECFB GAAG
FDDA FFGD
BEAF AFDD
AGDC GDCE
FCDG FDCA
AFFG EFBC
AGAA BFAD
DBFD GCAC
FDAA FEAB
AAFD EADF
ACBF DFDC
BGBG ACCC
FCAF ACGE
ECAE AEFE
DGCE BDAC
AFAC AGDF
GEAA GAAD
BBCF FCFB
AFDB DBEG
BADC CCFF
BFCC DCGG
EEAB DDFC
DEGB FCGC
BDFC GCED
BEEE BBCB
FGEC EDEA
FEGC DCGE
FEGE BACE
ABGC AFGD
DCCG AABA
BBDA AGGA
DDEC FAFE
CBBE BGCF
GAFF DABB
BBEF BABG
DCFA CBAE
AGED BDAA
GGCD BCBG
FBDB BDGB
FCDD GBAE
DCCE EEFC
GGBC EAAA
AFDE FGAD
AECF GGED
FGEC CCEB
FGAB GCAD
CCAE GGGA
GBFE DBED
FEBA BBGE
GAAC AFDF
EGAA CEAC
FCDA FEDE
AGAC BBAF
FBED CCDF
CFAB BGBG
GGAF EAGA
GDBA FGEA
BBAG FCAC
GGDE BFCE
AFFF GACD
GBBF FFFB
FGAB GEAF
BEDG ADEF
EGBC EECG
BBEE FBGG
FDBC GFED
CCCD DDBE
FEFF GCGG
AACF ABFA
ECGF CAGA
CFAF EGCC
AAGG DGDB
DAFB CGFA
EACE GDFG
CGBE ADCB
DCBG GADF
CFFD DGDF
FEBA ACDG
EEDF FGDB
EACA DEFF
GFAF CGGC
CDBB CCGF
CDEC DDBB
FGAB DAGA
CEFA GGGF
CDBF GABC
FDBE EFCG
CDGG BBGG
GFEA EEGF
DGAE BCAE
DGBG FBCF
BEGE GDBB
ECDB CEFG
DDEB FCFE
GGDF GDBF
CGBD CDAE
CAAF FEDD
CEEE AAEF
CGGG FDGF
CGEF CCEA
FCDE CDEB
CGFC DADD
EABB CFDF
GEGA CBCF
AGCD AFFB
CGDB BFDD
FGDG ECAG
DFCC BBBF
CDEG AECE
AGEB EEGB
FBGF EBBC
EFBE AGFG
DEBD BFDB
GBCF DBAG
FGBF AFAC
CBGE GBFC
EEAB FDDB
BAAF CAGD
GEAC BBEC
FFFG FDDA
GDGA ADCD
FEFA EAGF
GEBE CGBB
ABGB BDEE
BABE EECE
GGGE DFAF
FEDA CEGC
AFAG GBDC
DGGC CGGA
CGAA CACG
CDBA FEGB
BEAF FGBD
BGAG GBDD
FEFE FCED
BDAC GAGF
BECG ECBF
GGGE GEGA
EAEF BGFB
DDFD FFDB
DCFE EEFC
FBDD CCFB
EDDE BAAD
EDAD CGCD
AGCA GGDE
EFGF ECEE
GDBG FGFA
ABEE BEBB
BCCC FEFE
CDEF EGEF
EGDD BECF
DGFD BBEC
DDGD DAFG
BCED FEED
FCAC FBAA
DAGC DDEE
CABB FABA
ECDG BFAC
EEBG FGFF
DBGA EDCB
EDEE EDDB
DCAF DDFB
CGDA EAAA
GEGC DGBB
DFDD ADFF
EEFC EBDG
GDAB CBBF
EADF AEFA
GADF DBDE
DCDF BBDD
CFDE FCBD
BEGF GFCG
BDEG EAED
EFAE GBFF
DGDD GGCA
GEAA CCBB
FGAE EGCB
GEAA CEDE
ACCA EBFC
CDDG ADBA
GGFE BFBE
ECCB ABGG
GCEG CBBC
DEDB BBFE
GBCF GBBG
GADA ABCA
AGCB FECD
FCEC AFEA
CCDD CEFG
DAAG DCBF
FEBD CADG
CAFD EBBE
ABCB FEAC
FGAD GAFF
DECF DBDG
CCDB FGGA
AEEE EABE
BEFA ADFF
FDCC BGDA
DBEA GCFG
CFFG BEFE
ECGF FDEC
AAEE CFDA
DDFA FEDG
GEAF FDDC
BCAF EAEB
CCDA BABC
EGBE ABAC
AGGF FAEB
EFBF AFFD
GCGA ADEB
EBCE ECGD
BGGG CBGF
DFEE ADEF
CDBF GEFB
CADG FEEF
CBEE EAAF
GFEF DBGC
GEGF FCBG
GBAC DCED
CCDD AACC
EBGA BAGF
GFBD BECE
GCBC EFFE
GECA AGAB
AFAF GGCC
CBGC EACG
CFAA GGEA
DEDG DCFB
BGCF GEDB
EGGD EFGB
DFAE AFEF
AAFB BEGA
DADA EGAA
ABAF DBFB
EBFA DFDD
ADEE BBBB
FCFF BFEF
BGCF CDAF
CGDF FECF
BDEE AFED
BCFA AECB
FFCG FGEF
BDDB AECG
BFEA CBAB
FCFF EFDB
DGAF FADD
AAGG EGGB
GBAF BAGA
EDDD GBGC
FFEA DBEF
EEEE FDFB
GACF GFGF
BFCD ADFD
GEEB BDAE
DAEG EBDD
FAAB GGBD
EBFA CACB
FEGA EBGD
DFGA CECD
BCFA GAAG
FCGB CDBG
FBED EFBE
CFGD EGGE
EDCC GGDC
AEBE EABA
AEGA ABCD
ABAB CBCE
ADCF BFCA
EAFD DBBE
EAEB DFFC
BGGC CDCF
GADC AEBG
ABED EAGF
DFED EFCA
EABA GGGG
DCCB DCEG
DEDA BEGC
DCEG FECA
FGBF ECCA
DFGD AABD
EEDD FBGB
CCAE AFBA
GBAG DCFC
BEEG DCFB
ABDA ACGE
FEGE EDFF
FDEB DAGG
EFBG CDBC
GECB FCCB
CABE AGBG
EFCC GGGF
ECGE DDFE
BGAB EEED
GDED ACDG
BBAB ADFE
CGFE FDCD
DBFA BBDD
EACD FCFA
GCAA DGBG
BGFD GDAE
CDBA EGAC
CGDC DGCB
FDBA AFGG
DACB EBFG
FDGC GDAD
GCFB DDAE
EFDC EGBE
EADG AAGB
BEDE DGBC
GBFB ECGF
ECFB CGFG
BFED FCFC
FCAE FACA
DBGF EECE
GEFB FEGE
GBAC GGBG
AEBG CGDG
